kn
0.18
deviations
param,inde dev,comp dev
C(t=0),0.00814934765339,0.00186740066944
N(t=0),0.0330056005943,0.0693808974086
kn,nan,5.09872012828
r (MAD),0.672050121351,0.526872032565
params
param,true,inde est,comp est
C(t=0),0.01,0.00185065234661,0.00813259933056
N(t=0),1.0,1.03300560059,0.930619102591
kn,0.18,nan,5.27872012828
r0,1.1434282299326066,0.999724509221,1.10421276858
r1,2.4907194975678784,1.17483847125,1.37876286086
r2,0.22589661831449326,0.924308440448,0.737495852333
r3,1.0592820273263666,1.00940968679,1.19152559171
r4,1.7685692462953173,1.14464369264,1.39659884927
r5,0.0,0.92208872178,0.719769916354
r6,0.0,0.922089101321,0.69639860535
r7,0.0,0.92208912057,0.726450431029
r8,0.4876660289621736,0.938055714102,0.919910075819
