kn
0.1
deviations
param,inde dev,comp dev
C(t=0),0.118159988494,2.05896594531e-07
N(t=0),0.954503078972,3.5504239726e-07
kn,nan,2.89010397322e-07
r (MAD),0.69261590537,4.75560654851e-06
params
param,true,inde est,comp est
C(t=0),0.01,0.128159988494,0.00999979410341
N(t=0),1.0,1.95450307897,0.999999644958
kn,0.1,nan,0.10000028901
r0,1.1434282299326066,0.0789137384166,1.14343499493
r1,2.4907194975678784,0.353545694072,2.49072256845
r2,0.22589661831449326,0.0,0.225899162974
r3,1.0592820273263666,0.118625428446,1.05928801936
r4,1.7685692462953173,0.311770323067,1.76857559051
r5,0.0,0.0,7.6417920116e-06
r6,0.0,0.0,5.24498766332e-06
r7,0.0,0.0,2.49682165896e-06
r8,0.4876660289621736,0.0791633160709,0.487668729022
