kn
0.08
deviations
param,inde dev,comp dev
C(t=0),0.110296851496,1.86250500108e-07
N(t=0),0.788430307289,6.73243646387e-08
kn,nan,3.72988365749e-08
r (MAD),0.675711913251,4.85585183496e-06
params
param,true,inde est,comp est
C(t=0),0.01,0.120296851496,0.0099998137495
N(t=0),1.0,1.78843030729,0.999999932676
kn,0.08,nan,0.0800000372988
r0,1.1434282299326066,0.0940389305632,1.14343349416
r1,2.4907194975678784,0.409448022892,2.4907296584
r2,0.22589661831449326,0.0,0.225898570491
r3,1.0592820273263666,0.142963939101,1.05928663908
r4,1.7685692462953173,0.351974245441,1.76857627459
r5,0.0,0.0,5.85074497366e-06
r6,0.0,0.0,5.93533019977e-06
r7,0.0,0.0,7.86685377625e-07
r8,0.4876660289621736,0.0957292911474,0.487668141582
