kn
0.02
deviations
param,inde dev,comp dev
C(t=0),0.0121852449099,8.81882514705e-08
N(t=0),0.168796916854,1.13249255529e-07
kn,nan,1.73009471402e-08
r (MAD),0.28460894863,1.49598980183e-06
params
param,true,inde est,comp est
C(t=0),0.01,0.0221852449099,0.00999991181175
N(t=0),1.0,1.16879691685,1.00000011325
kn,0.02,nan,0.0199999826991
r0,1.1434282299326066,0.68933915031,1.14342984997
r1,2.4907194975678784,1.62889673099,2.49072457447
r2,0.22589661831449326,0.124242603723,0.225897151172
r3,1.0592820273263666,0.669619041399,1.05928404471
r4,1.7685692462953173,1.16661288672,1.76857258828
r5,0.0,0.0,6.2576960144e-09
r6,0.0,0.0,5.99256512835e-09
r7,0.0,0.0,5.97278323683e-09
r8,0.4876660289621736,0.335370697586,0.487666885474
