kn
0.2
deviations
param,inde dev,comp dev
C(t=0),0.0099999999998,0.0099999999998
N(t=0),1.08722281028,1.08735727582
kn,nan,0.183017071907
r (MAD),0.441300284125,0.44129183622
params
param,true,inde est,comp est
C(t=0),0.01,1.99428047619e-13,1.99417305339e-13
N(t=0),1.0,2.08722281028,2.08735727582
kn,0.2,nan,0.0169829280926
r0,1.1434282299326066,0.866760828022,0.866714139568
r1,2.4907194975678784,2.14778710933,2.14791790418
r2,0.22589661831449326,0.672234929717,0.672200324687
r3,1.0592820273263666,1.30760461689,1.30765400075
r4,1.7685692462953173,2.12129632682,2.12144003606
r5,0.0,0.669244539987,0.669208490835
r6,0.0,0.669244549232,0.669208500079
r7,0.0,0.669244539883,0.669208490731
r8,0.4876660289621736,0.784647185352,0.784604919986
