kn
0.14
deviations
param,inde dev,comp dev
C(t=0),0.0099996122557,0.00999899917724
N(t=0),0.56468555501,0.564685555043
kn,nan,0.139999997528
r (MAD),0.262717339731,0.262717339721
params
param,true,inde est,comp est
C(t=0),0.01,3.87744302021e-07,1.00082275554e-06
N(t=0),1.0,1.56468555501,1.56468555504
kn,0.14,nan,2.4715597153e-09
r0,1.1434282299326066,1.06698948209,1.06698948209
r1,2.4907194975678784,2.1551725771,2.15517257711
r2,0.22589661831449326,0.455972210468,0.455972210432
r3,1.0592820273263666,1.13383133287,1.13383133288
r4,1.7685692462953173,2.00600515565,2.00600515565
r5,0.0,0.434459657946,0.434459657925
r6,0.0,0.434464863664,0.434464863643
r7,0.0,0.434466577796,0.434466577775
r8,0.4876660289621736,0.594684511768,0.594684511775
