kn
0.16
deviations
param,inde dev,comp dev
C(t=0),0.00999999816929,0.00999997738856
N(t=0),0.885785429891,0.885488533211
kn,nan,0.135487793835
r (MAD),0.282950775344,0.282921066024
params
param,true,inde est,comp est
C(t=0),0.01,1.83070873728e-09,2.26114407288e-08
N(t=0),1.0,1.88578542989,1.88548853321
kn,0.16,nan,0.0245122061649
r0,1.1434282299326066,1.03427334793,1.03402093628
r1,2.4907194975678784,2.11430457929,2.1146989373
r2,0.22589661831449326,0.498531754943,0.498410089597
r3,1.0592820273263666,1.09818357503,1.09818336134
r4,1.7685692462953173,1.95101285928,1.95147473673
r5,0.0,0.480232018167,0.480140174443
r6,0.0,0.48023060926,0.480113410259
r7,0.0,0.480230609716,0.4801240566
r8,0.4876660289621736,0.613979672327,0.613829832223
