kn
0.06
deviations
param,inde dev,comp dev
C(t=0),0.0975440493064,1.40684854445e-07
N(t=0),0.595050608825,6.63604129425e-08
kn,nan,1.19861129841e-08
r (MAD),0.644686498639,2.9207117987e-06
params
param,true,inde est,comp est
C(t=0),0.01,0.107544049306,0.00999985931515
N(t=0),1.0,1.59505060883,1.00000006636
kn,0.06,nan,0.0599999880139
r0,1.1434282299326066,0.1219249035,1.143431942
r1,2.4907194975678784,0.517876040705,2.49072641801
r2,0.22589661831449326,0.0,0.225897779529
r3,1.0592820273263666,0.187769928994,1.05928534691
r4,1.7685692462953173,0.423941236394,1.76857449988
r5,0.0,0.0,7.92009354764e-14
r6,0.0,0.0,3.69580940162e-06
r7,0.0,0.0,7.75537647019e-07
r8,0.4876660289621736,0.121871051052,0.487667477128
