Library	ORF 	Plate	Row	Column	Notes
ConorLib	HIS3	1	5	9	
ConorLib	HIS3	1	5	10	
ConorLib	HIS3	1	5	11	
ConorLib	HIS3	1	5	12	
ConorLib	SPE1	1	6	1	
ConorLib	SPE1	1	6	2	
ConorLib	SPE1	1	6	3	
ConorLib	SPE1	1	6	4	
ConorLib	SPE1	1	6	5	
ConorLib	SPE1	1	6	6	
ConorLib	SPE1	1	6	7	
ConorLib	SPE1	1	6	8	
ConorLib	SPE1	1	6	9	
ConorLib	SPE1	1	6	10	
ConorLib	SPE1	1	6	11	
ConorLib	SPE1	1	6	12	
ConorLib	HIS3	1	7	1	
ConorLib	HIS3	1	7	2	
ConorLib	HIS3	1	7	3	
ConorLib	HIS3	1	7	4	
ConorLib	HIS3	1	7	5	
ConorLib	HIS3	1	7	6	
ConorLib	HIS3	1	7	7	
ConorLib	HIS3	1	7	8	
ConorLib	HIS3	1	7	9	
ConorLib	HIS3	1	7	10	
ConorLib	HIS3	1	7	11	
ConorLib	HIS3	1	7	12	
ConorLib	SPE1	1	8	1	
ConorLib	SPE1	1	8	2	
ConorLib	SPE1	1	8	3	
ConorLib	SPE1	1	8	4	
ConorLib	SPE1	1	8	5	
ConorLib	SPE1	1	8	6	
ConorLib	SPE1	1	8	7	
ConorLib	SPE1	1	8	8	
ConorLib	SPE1	1	8	9	
ConorLib	SPE1	1	8	10	
ConorLib	SPE1	1	8	11	
ConorLib	SPE1	1	8	12	
ConorLib	HIS3	2	1	1	
ConorLib	HIS3	2	1	2	
ConorLib	HIS3	2	1	3	
ConorLib	HIS3	2	1	4	
ConorLib	HIS3	2	1	5	
ConorLib	HIS3	2	1	6	
ConorLib	HIS3	2	1	7	
ConorLib	HIS3	2	1	8	
ConorLib	HIS3	2	1	9	
ConorLib	HIS3	2	1	10	
ConorLib	HIS3	2	1	11	
ConorLib	HIS3	2	1	12	
ConorLib	MRE11	2	2	1	
ConorLib	MRE11	2	2	2	
ConorLib	MRE11	2	2	3	
ConorLib	MRE11	2	2	4	
ConorLib	MRE11	2	2	5	
ConorLib	MRE11	2	2	6	
ConorLib	MRE11	2	2	7	
ConorLib	MRE11	2	2	8	
ConorLib	MRE11	2	2	9	
ConorLib	MRE11	2	2	10	
ConorLib	MRE11	2	2	11	
ConorLib	MRE11	2	2	12	
ConorLib	HIS3	2	3	1	
ConorLib	HIS3	2	3	2	
ConorLib	HIS3	2	3	3	
ConorLib	HIS3	2	3	4	
ConorLib	HIS3	2	3	5	
ConorLib	HIS3	2	3	6	
ConorLib	HIS3	2	3	7	
ConorLib	HIS3	2	3	8	
ConorLib	HIS3	2	3	9	
ConorLib	HIS3	2	3	10	
ConorLib	HIS3	2	3	11	
ConorLib	HIS3	2	3	12	
ConorLib	MRE11	2	4	1	
ConorLib	MRE11	2	4	2	
ConorLib	MRE11	2	4	3	
ConorLib	MRE11	2	4	4	
ConorLib	MRE11	2	4	5	
ConorLib	MRE11	2	4	6	
ConorLib	MRE11	2	4	7	
ConorLib	MRE11	2	4	8	
ConorLib	MRE11	2	4	9	
ConorLib	MRE11	2	4	10	
ConorLib	MRE11	2	4	11	
ConorLib	MRE11	2	4	12	
ConorLib	HIS3	2	5	1	
ConorLib	HIS3	2	5	2	
ConorLib	HIS3	2	5	3	
ConorLib	HIS3	2	5	4	
ConorLib	HIS3	2	5	5	
ConorLib	HIS3	2	5	6	
ConorLib	HIS3	2	5	7	
ConorLib	HIS3	2	5	8	
ConorLib	HIS3	2	5	9	
ConorLib	HIS3	2	5	10	
ConorLib	HIS3	2	5	11	
ConorLib	HIS3	2	5	12	
ConorLib	MRE11	2	6	1	
ConorLib	MRE11	2	6	2	
ConorLib	MRE11	2	6	3	
ConorLib	MRE11	2	6	4	
ConorLib	MRE11	2	6	5	
ConorLib	MRE11	2	6	6	
ConorLib	MRE11	2	6	7	
ConorLib	MRE11	2	6	8	
ConorLib	MRE11	2	6	9	
ConorLib	MRE11	2	6	10	
ConorLib	MRE11	2	6	11	
ConorLib	MRE11	2	6	12	
ConorLib	HIS3	2	7	1	
ConorLib	HIS3	2	7	2	
ConorLib	HIS3	2	7	3	
ConorLib	HIS3	2	7	4	
ConorLib	HIS3	2	7	5	
ConorLib	HIS3	2	7	6	
ConorLib	HIS3	2	7	7	
ConorLib	HIS3	2	7	8	
ConorLib	HIS3	2	7	9	
ConorLib	HIS3	2	7	10	
ConorLib	HIS3	2	7	11	
ConorLib	HIS3	2	7	12	
ConorLib	MRE11	2	8	1	
ConorLib	MRE11	2	8	2	
ConorLib	MRE11	2	8	3	
ConorLib	MRE11	2	8	4	
