times,C0,C1,C2,C3,C4,C5,C6,C7,C8
0.0,0.0,0.0,0.00024115201394658375,0.0017542463079052856,0.0,0.0019169098673964512,0.0030166896152667923,0.0023405989611165168,0.0015412578018721161
0.5,0.0088038133917720165,0.0033562011705013509,0.0034277795997318598,0.0,0.0,0.0049758302638608417,0.010146548090107798,0.0,1.0392574592977705e-06
1.0,0.0047133882002790345,0.0,0.00087122808467773156,0.0034607663402904327,0.028800458634451152,0.037770199393207068,0.094611229442368577,0.11707244226485529,0.0011177174022425874
1.5,0.0,0.0058509654964727133,0.017573730644947223,0.0066705801877337476,0.11325521249423923,0.12232466822733901,0.12289272847951475,0.13653188775319397,0.0045881792781139064
2.0,0.019978227634469693,0.0068103766848141272,0.081162604971129829,0.014660830859058147,0.1488990229579166,0.14520950991959183,0.13536294281276076,0.15389265835566374,0.0069173263529254906
2.5,0.057775734524357206,0.0060814579387651457,0.093532716857023385,0.027090001411575332,0.1698478385394577,0.15525820405888136,0.13532970857115631,0.16519697838268077,0.00091755237676892278
3.0,0.071469597032856561,0.0,0.095845166809876065,0.038510716195915624,0.17178069944608235,0.14310442251466376,0.14894413382256319,0.16541315814520993,0.0068658991432752493
3.5,0.070167213226109124,0.0042540176713460132,0.10393738143051642,0.043258000103774071,0.1771019777179636,0.16321049708333701,0.14567235194164146,0.16687239420403041,0.0084929923855881322
4.0,0.082741400430606488,0.0,0.10287494299352354,0.039753689584890645,0.17800768131772557,0.1610740354957772,0.14689486812891078,0.17140242541386852,0.0097617935915492518
4.5,0.078721898431102791,0.0,0.10595482381628715,0.048832517564854565,0.18464965719993273,0.15961154144515496,0.13829897359015791,0.17360194781131036,0.0042208566260155938
5.0,0.075263046194785022,0.0,0.10494112773423252,0.047326881055442478,0.16986423222861113,0.1672537774243435,0.1469389639965385,0.16429232884690989,0.011537105338490587
