Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename
1	1	513.0	342.0	380	0.081758831062481913	0.36272139210945087	0.085085138609217681	0.27958567853147082	0.0086041950835504099	-0.010755493032369582	0.014752729759849224	0.046134981158851208	124.93901582056102	114.08440164852905	88.401762482669554	54.638247502918666	53.276289618195186	49.514441994205903	138.0	126.0	95.0	53.0	52.0	49.0	K000134_027_078	K000134_027_078_2012-05-07_16-21-56
2	1	900.0	340.0	380	0.12135181542457771	0.50307589504067896	0.12182920139545597	0.29527198296046897	0.010944846878065862	-0.0057045047415454396	0.021208286696527037	0.045315201741514592	126.19711887384118	116.04176537445055	92.010475577526122	55.159065073335739	54.513669004907534	51.303435273241469	142.0	130.0	100.0	54.0	54.0	51.0	K000134_027_078	K000134_027_078_2012-05-07_16-21-56
3	1	1287.0	337.0	380	0.12025022781612836	0.52013970694608058	0.11771545358091937	0.29034644585109398	0.011768498734402281	0.002138632513356521	0.02466699809172497	0.042724974338837568	121.1168414918415	112.16405753337571	89.839942254714984	56.508118351350184	56.215254748266503	52.968057768781314	140.0	128.0	99.0	56.0	56.0	53.0	K000134_027_078	K000134_027_078_2012-05-07_16-21-56
4	1	1675.0	335.0	380	0.12383922844950868	0.52806883391544557	0.11947111727261318	0.28851509197165154	0.011911979295098657	0.0060602011408075014	0.024231492809508266	0.043434531313507073	120.79865631726567	112.25052507990347	90.064822907833801	57.453493124689807	57.275902840627097	53.915219104895918	139.0	128.0	99.0	57.0	57.0	54.0	K000134_027_078	K000134_027_078_2012-05-07_16-21-56
5	1	2062.0	333.0	380	0.11652188153004953	0.50948257452070456	0.11178928631048105	0.28491509484389421	0.012486986050400804	0.0084052975045483102	0.023723526481697926	0.043117641790839135	118.83138850953932	110.5240477574807	88.849615317008528	57.540222459412391	57.374978933767764	54.055207572608282	138.0	127.0	98.0	57.0	57.0	54.0	K000134_027_078	K000134_027_078_2012-05-07_16-21-56
6	1	2449.0	331.0	380	0.12291507643133343	0.52173104346208687	0.11756680729349427	0.28738570222747262	0.012791994062503231	0.0085739220832860546	0.021043691015403147	0.046327870433518645	120.53024361259655	112.07428533703043	89.659364890737436	57.913677872843024	57.799772419554635	54.320571543802032	139.0	128.0	98.0	57.0	57.0	54.0	K000134_027_078	K000134_027_078_2012-05-07_16-21-56
7	1	2836.0	330.0	380	0.12275764018372808	0.52239237811808958	0.11631110811910252	0.27372295258171592	0.014639709951648922	0.012495490710737035	0.020172696722545264	0.047347428028189392	119.7145626458836	111.34550513642178	89.536403317904288	58.525645463724217	58.365354103562673	54.981523150151446	135.0	124.0	96.0	58.0	58.0	55.0	K000134_027_078	K000134_027_078_2012-05-07_16-21-56
8	1	3223.0	334.0	380	0.11407000821253477	0.51823148090740623	0.10581519737900227	0.20946020341466626	0.01634526135619159	0.016417059338188017	0.014228588535280723	0.056151445636224609	114.31355763223311	106.5971127387773	86.847501561939197	59.464666685732261	59.278505447993822	55.951768810592846	115.0	108.0	87.0	59.0	59.0	56.0	K000134_027_078	K000134_027_078_2012-05-07_16-21-56
9	1	3605.0	306.0	380	0.11766716943223217	0.53357306714613428	0.10789153673661106	0.1982268624220192	0.015990297362038899	0.020338627965638997	0.0096231402410711098	0.06928169411894379	113.77221318459989	105.93035866449763	87.272807085495913	60.524598638250104	60.145066241304441	57.26378365604738	112.0	105.0	86.0	60.0	60.0	57.0	K000134_027_078	K000134_027_078_2012-05-07_16-21-56
10	1	3998.0	322.0	380	0.069879932336245898	0.36431272862545727	0.054978132141806593	0.086836655093970802	0.014247570748407839	0.021746475650611424	0.030419827322962067	0.032198731064128794	99.137224869525753	92.670864533696388	79.190000756372442	61.234944785807947	60.684786024686545	58.176750436186701	81.0	76.0	70.0	61.0	60.0	58.0	K000134_027_078	K000134_027_078_2012-05-07_16-21-56
