Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename
1	1	513.0	342.0	380	0.084234247528494649	0.36272139210945087	0.086995093690351535	0.28346413360002165	0.0080352821465328097	-0.009986853972741825	0.015347273342191124	0.04523253490951426	126.45192106812527	115.52107192372705	88.814483505213374	54.848250962078957	53.607082630691401	49.245113936092011	139.0	126.0	95.0	53.0	52.0	48.0	K000134_027_078	K000134_027_078_2012-05-08_04-23-07
2	1	900.0	340.0	380	0.12346657015577221	0.50307589504067896	0.12360489673384499	0.29915040810982557	0.010842353299156744	-0.003190783799066886	0.020442957158717027	0.046155647866851286	127.22528653785587	117.04620208963807	92.037150642912891	55.293232040369311	54.799886322677239	51.004006432472899	143.0	130.0	100.0	54.0	54.0	51.0	K000134_027_078	K000134_027_078_2012-05-08_04-23-07
3	1	1287.0	337.0	380	0.12219913139715774	0.52013970694608058	0.11924394380948679	0.29220137605559765	0.011773710520747813	0.002138632513356521	0.025151286238353089	0.042311640178835916	121.90228332273787	113.02503178639542	89.919832061877514	56.723315675380796	56.531332098712262	52.735848514865701	140.0	129.0	100.0	56.0	56.0	53.0	K000134_027_078	K000134_027_078_2012-05-08_04-23-07
4	1	1675.0	335.0	380	0.12579582412859869	0.52806883391544557	0.12112030186052224	0.291350414333018	0.011915085334424971	0.0085739220832860546	0.025246149481339877	0.042552751772170209	121.70662057269584	113.12826299654296	90.149592329267492	57.585393980089336	57.547966601465568	53.625434268531222	140.0	129.0	99.0	57.0	57.0	53.0	K000134_027_078	K000134_027_078_2012-05-08_04-23-07
5	1	2062.0	333.0	380	0.11834381635790081	0.50948257452070456	0.11331981384457598	0.28762098677097753	0.012536622396421738	0.0085739220832860546	0.024813401670462251	0.042160084320168642	119.67236367078166	111.38838784699217	88.912962937923382	57.599235997977644	57.66622661648222	53.72962193135217	139.0	128.0	98.0	57.0	57.0	54.0	K000134_027_078	K000134_027_078_2012-05-08_04-23-07
6	1	2449.0	331.0	380	0.12512509503192845	0.52173104346208687	0.11948615807792813	0.29098569935523	0.012815868947963974	0.0097464702651564594	0.021405003908002714	0.045935202981517077	121.5925925925926	113.10877401465636	89.775242622301448	58.005372626969724	58.069901765909023	54.048584103938005	140.0	129.0	98.0	57.0	58.0	54.0	K000134_027_078	K000134_027_078_2012-05-08_04-23-07
7	1	2836.0	330.0	380	0.12519514814827978	0.52239237811808958	0.11861369206579149	0.27958567853147082	0.014607570602387583	0.012495490710737035	0.020529570770927985	0.046934093868187733	121.06993182207805	112.52303147789162	89.777782173517423	58.516096927736911	58.582922255877683	54.518188374441081	137.0	126.0	96.0	58.0	58.0	54.0	K000134_027_078	K000134_027_078_2012-05-08_04-23-07
8	1	3223.0	334.0	380	0.11776026027095281	0.51823148090740623	0.10926689253323806	0.22840922589475204	0.016259842225575902	0.016417059338188017	0.014069340379670045	0.056468335158892539	116.21964188389806	108.40441596767118	87.440732715647314	59.583907684388137	59.531872908742528	55.442016758658163	121.0	113.0	89.0	59.0	59.0	55.0	K000134_027_078	K000134_027_078_2012-05-08_04-23-07
9	1	3605.0	306.0	380	0.12143801239357668	0.53357306714613428	0.11142173441202338	0.21786019671276674	0.015901495207937367	0.020338627965638997	0.0097001481584787479	0.069006138012276022	115.7512975443489	107.71580551036745	87.68784052469853	60.637792251908962	60.395232398422614	56.832823784837608	118.0	110.0	88.0	60.0	60.0	57.0	K000134_027_078	K000134_027_078_2012-05-08_04-23-07
10	1	3998.0	322.0	380	0.072019244814561789	0.36431272862545727	0.056774888370761251	0.087715112556057198	0.014575653401764295	0.024260196593089978	0.032803194173778381	0.031006950902790695	100.60371757053173	94.031540730655777	79.36927993343923	61.354660424591174	60.923046913098602	57.841303900213489	82.0	76.0	69.0	61.0	61.0	58.0	K000134_027_078	K000134_027_078_2012-05-08_04-23-07
