Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename
1	1	513.0	342.0	380	0.087550293322118777	0.36272139210945087	0.088419375928370972	0.28794255827067117	0.0084445058728316348	-0.006833924404918602	0.014621439432873543	0.046341648238852035	127.19920992156193	116.65215657227509	89.813704822137396	55.423736325506987	54.448793617849269	50.04172612098413	140.0	128.0	96.0	53.0	53.0	49.0	K000134_027_078	K000134_027_078_2012-05-08_00-21-14
2	1	900.0	340.0	380	0.12736382142360861	0.50307589504067896	0.12591877355293096	0.3031151202153709	0.011115584597726382	-0.0017829361140944595	0.021163220910707589	0.045363424060181456	128.19448970928562	118.30533912114697	93.299930162816494	55.948457038289853	55.688981617545124	51.834779715529429	144.0	132.0	102.0	55.0	55.0	51.0	K000134_027_078	K000134_027_078_2012-05-08_00-21-14
3	1	1287.0	337.0	380	0.1260283117375654	0.52013970694608058	0.12159608228395055	0.29915040810982557	0.012026554426111079	0.0060602011408075014	0.025291095293403083	0.04219452883350211	122.84182294977749	114.28134933248569	91.101954863318497	57.361973670987844	57.369840791305968	53.628335989204245	142.0	131.0	101.0	56.0	57.0	53.0	K000134_027_078	K000134_027_078_2012-05-08_00-21-14
4	1	1675.0	335.0	380	0.1296841010796993	0.52806883391544557	0.12341852850428016	0.29635822922655353	0.012170549656588606	0.0099817697682584808	0.024986592399011145	0.042773196657504425	122.56386406627095	114.36344661144088	91.276133324636362	58.261276384550257	58.481972381981137	54.579876215222022	141.0	130.0	100.0	58.0	58.0	54.0	K000134_027_078	K000134_027_078_2012-05-08_00-21-14
5	1	2062.0	333.0	380	0.12224917687211359	0.50948257452070456	0.11557518041103235	0.29433473428170059	0.012780062829746863	0.0099817697682584808	0.025140967784965843	0.041884528213500874	120.65020214448937	112.59229011452601	90.051245994293978	58.325824391888098	58.583253749789336	54.62628504016628	140.0	130.0	99.0	58.0	58.0	54.0	K000134_027_078	K000134_027_078_2012-05-08_00-21-14
6	1	2449.0	331.0	380	0.12886745225390581	0.52173104346208687	0.12168890830730747	0.29527198296046897	0.013061530645000978	0.0127739187323363	0.021888127414994782	0.045425424184181704	122.53536673928831	114.22025483594111	91.023331352743114	58.68841644340737	58.946619422118516	54.943436176648518	141.0	130.0	99.0	58.0	58.0	55.0	K000134_027_078	K000134_027_078_2012-05-08_00-21-14
7	1	2836.0	330.0	380	0.12894749116757795	0.52239237811808958	0.12066188096985404	0.28363275817875938	0.014919131178711246	0.016417059338188017	0.020084932211751689	0.047450761568189802	121.83716422043756	113.62486318260342	90.862193561999703	59.343516515217075	59.510053367950384	55.555401702004907	138.0	127.0	98.0	59.0	59.0	55.0	K000134_027_078	K000134_027_078_2012-05-08_00-21-14
8	1	3223.0	334.0	380	0.12094372808833311	0.51823148090740623	0.11083260765643427	0.22873079739444568	0.016573210950230503	0.020338627965638997	0.013990716995021303	0.056626779920226508	116.77331277333936	109.25150544352427	88.384888404429262	60.301727342923328	60.426802413704351	56.462407412703406	121.0	113.0	89.0	60.0	60.0	56.0	K000134_027_078	K000134_027_078_2012-05-08_00-21-14
9	1	3605.0	306.0	380	0.12473758982926293	0.53357306714613428	0.11296247379617257	0.21762491216926186	0.016243417667137692	0.024260196593089978	0.010056343022925606	0.067773024434937754	116.21993699486147	108.51968910579183	88.778474965786145	61.505058561153206	61.378468991389369	57.930199240846591	118.0	110.0	89.0	61.0	61.0	58.0	K000134_027_078	K000134_027_078_2012-05-08_00-21-14
10	1	3998.0	322.0	380	0.074994273912229584	0.36431272862545727	0.057434059185207803	0.091593537705413813	0.014634754379814797	0.025668044278062404	0.035087820063384186	0.029980504405453256	100.76272596626579	94.562343998184701	80.266299826034341	62.111858859737531	61.926167950843656	58.839114839017306	82.0	77.0	71.0	62.0	62.0	59.0	K000134_027_078	K000134_027_078_2012-05-08_00-21-14
11	1	4385.0	320.0	380	0.11474716833624063	0.49556699113398228	0.10622639475074241	0.22821705491014727	0.019188616900214915	0.016417059338188017	0.014224192017853314	0.054918332058886341	117.42591434171567	109.17647385907114	88.147267748168531	59.533377034851959	59.164017262099861	55.81839287665246	122.0	113.0	89.0	59.0	59.0	56.0	K000134_027_078	K000134_027_078_2012-05-08_00-21-14
12	1	4772.0	317.0	380	0.13715031136541306	0.56284401457691802	0.13085155641567939	0.26782097264911786	0.013819409991927734	0.0099817697682584808	0.0074340298717240159	0.080958384138990494	123.76315435173738	113.70905597101698	88.740046265131028	59.701787008730186	58.366005862145037	53.930993728135142	135.0	122.0	93.0	58.0	58.0	53.0	K000134_027_078	K000134_027_078_2012-05-08_00-21-14
1	2	488.0	718.0	380	0.10820426131909303	0.39720723885892217	0.11426143780957883	0.30827588202986234	0.0042203660870711668	-0.010755493032369582	0.026438913136211634	0.036063405460144256	140.76119946582494	127.89009521497077	94.564734039785634	52.721012091152204	52.384505497017209	48.333238097414913	147.0	133.0	97.0	52.0	52.0	48.0	K000134_027_078	K000134_027_078_2012-05-08_00-21-14
