------------------------------------------------
gPROMS Parameter Estimation
------------------------------------------------


Estimation Name                   :  my_model
Final Optimisation Status         :  Optimal Solution Found
Objective function                :  -9400.61
    Constant term                 :  3528.72
    Variance term                 :  -14849.3
    Least squares term            :  1919.92

Statistical Analysis:
=====================

Estimated Parameters:
---------------------
                                Final         Lower      Upper   95% Conf.  95%       Standard
Parameter                       Value         Bound      Bound   Interval   t-value   Deviation
------------
Flowsheet.my_model.pos(57)      1.35178       0          6.5     0.57       2.4       0.29
Flowsheet.my_model.pos(58)      3.52125       0          6.5     0.2        18        0.1
Flowsheet.my_model.pos(59)      2.12928       0          6.5     0.39       5.5       0.2
Flowsheet.my_model.pos(60)      3.87031       0          6.5     0.19       20        0.099
Flowsheet.my_model.pos(61)      1.75718       0          6.5     0.46       3.8       0.24
Flowsheet.my_model.pos(62)      0.431945      0          6.5     1.1        0.39      0.57
Flowsheet.my_model.pos(63)      0.372765      0          6.5     1.2        0.32      0.59
Flowsheet.my_model.pos(64)      1.52232       0          6.5     0.48       3.2       0.24
Flowsheet.my_model.pos(65)      1.79135       0          6.5     0.4        4.4       0.21
Flowsheet.my_model.pos(66)      1.59265       0          6.5     0.5        3.2       0.25
Flowsheet.my_model.pos(67)      2.90667       0          6.5     0.23       13        0.12
Flowsheet.my_model.pos(68)      1.56323       0          6.5     0.5        3.2       0.25
Flowsheet.my_model.pos(69)      0             0[*]       6.5   
Flowsheet.my_model.pos(70)      3.64543       0          6.5     0.18       20        0.093
Flowsheet.my_model.pos(71)      2.05759       0          6.5     0.34       6         0.18
Flowsheet.my_model.pos(72)      0             0[*]       6.5   
Flowsheet.my_model.pos(73)      0             0[*]       6.5   
Flowsheet.my_model.pos(74)      0.614747      0          6.5     0.95       0.65      0.49
Flowsheet.my_model.pos(75)      0.778907      0          6.5     0.83       0.94      0.42
Flowsheet.my_model.pos(76)      1.69156       0          6.5     0.42       4         0.22
Flowsheet.my_model.pos(77)      1.42043       0          6.5     0.51       2.8       0.26
Flowsheet.my_model.pos(78)      1.31874       0          6.5     0.56       2.4       0.28
Flowsheet.my_model.pos(79)      1.61342       0          6.5     0.46       3.5       0.23
Flowsheet.my_model.pos(80)      1.94983       0          6.5     0.36       5.3       0.19
Flowsheet.my_model.pos(81)      1.68444       0          6.5     0.44       3.8       0.23
Flowsheet.my_model.pos(82)      1.56002       0          6.5     0.52       3         0.26
Flowsheet.my_model.pos(83)      3.5536        0          6.5     0.2        18        0.1
Flowsheet.my_model.pos(84)      1.63614       0          6.5     0.51       3.2       0.26
Flowsheet.my_model.pos(85)      3.10607       0          6.5     0.22       14        0.11
