------------------------------------------------
gPROMS Parameter Estimation
------------------------------------------------


Estimation Name                   :  my_model
Final Optimisation Status         :  Optimal Solution Found
Objective function                :  -9917.45
    Constant term                 :  3528.72
    Variance term                 :  -15366.9
    Least squares term            :  1920.74

Statistical Analysis:
=====================

Estimated Parameters:
---------------------
                                Final      Lower      Upper   95% Conf.  95%      Standard
Parameter                       Value      Bound      Bound   Interval   t-value  Deviation
------------
Flowsheet.my_model.pos(53)      1.5573     0.5        6.5     0.6        2.6      0.31
Flowsheet.my_model.pos(54)      2.29956    0.5        6.5     0.4        5.8      0.2
Flowsheet.my_model.pos(55)      2.22376    0.5        6.5     0.41       5.4      0.21
Flowsheet.my_model.pos(56)      1.0926     0.5        6.5     0.83       1.3      0.42
Flowsheet.my_model.pos(57)      1.79278    0.5        6.5     0.52       3.4      0.27
Flowsheet.my_model.pos(58)      4.88738    0.5        6.5     0.39       12       0.2
Flowsheet.my_model.pos(59)      2.54666    0.5        6.5     0.37       6.9      0.19
Flowsheet.my_model.pos(60)      5.73939    0.5        6.5     0.49       12       0.25
Flowsheet.my_model.pos(61)      2.16717    0.5        6.5     0.43       5        0.22
Flowsheet.my_model.pos(62)      0.924111   0.5        6.5     0.94       0.98     0.48
Flowsheet.my_model.pos(63)      0.884272   0.5        6.5     0.97       0.91     0.5
Flowsheet.my_model.pos(64)      2.03252    0.5        6.5     0.45       4.5      0.23
Flowsheet.my_model.pos(65)      2.32039    0.5        6.5     0.39       5.9      0.2
Flowsheet.my_model.pos(66)      2.04065    0.5        6.5     0.46       4.5      0.23
Flowsheet.my_model.pos(67)      3.74647    0.5        6.5     0.31       12       0.16
Flowsheet.my_model.pos(68)      2.02632    0.5        6.5     0.46       4.4      0.23
Flowsheet.my_model.pos(69)      0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(70)      5.39616    0.5        6.5     0.45       12       0.23
Flowsheet.my_model.pos(71)      2.61772    0.5        6.5     0.36       7.4      0.18
Flowsheet.my_model.pos(72)      0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(73)      0.5        0.5        6.5     1.3        0.38     0.66
Flowsheet.my_model.pos(74)      1.19112    0.5        6.5     0.78       1.5      0.4
Flowsheet.my_model.pos(75)      1.32736    0.5        6.5     0.7        1.9      0.36
Flowsheet.my_model.pos(76)      2.23426    0.5        6.5     0.41       5.4      0.21
Flowsheet.my_model.pos(77)      1.95327    0.5        6.5     0.47       4.1      0.24
Flowsheet.my_model.pos(78)      1.81989    0.5        6.5     0.51       3.6      0.26
Flowsheet.my_model.pos(79)      2.13456    0.5        6.5     0.43       5        0.22
Flowsheet.my_model.pos(80)      2.50939    0.5        6.5     0.37       6.9      0.19
Flowsheet.my_model.pos(81)      2.18155    0.5        6.5     0.42       5.2      0.21
Flowsheet.my_model.pos(82)      1.988      0.5        6.5     0.47       4.2      0.24
Flowsheet.my_model.pos(83)      5.01179    0.5        6.5     0.41       12       0.21
Flowsheet.my_model.pos(84)      2.0201     0.5        6.5     0.47       4.3      0.24
Flowsheet.my_model.pos(85)      4.10088    0.5        6.5     0.33       13       0.17
Flowsheet.my_model.pos(86)      2.14195    0.5        6.5     0.43       5        0.22
Flowsheet.my_model.pos(87)      1.00597    0.5        6.5     0.89       1.1      0.45
Flowsheet.my_model.pos(88)      1.95802    0.5        6.5     0.47       4.2      0.24
Flowsheet.my_model.pos(89)      0.804175   0.5        6.5     1          0.78     0.53
Flowsheet.my_model.pos(90)      2.18655    0.5        6.5     0.42       5.2      0.21
Flowsheet.my_model.pos(91)      1.98583    0.5        6.5     0.47       4.3      0.24
Flowsheet.my_model.pos(92)      2.23833    0.5        6.5     0.41       5.5      0.21
Flowsheet.my_model.pos(93)      1.28262    0.5        6.5     0.73       1.8      0.37
Flowsheet.my_model.pos(94)      1.76263    0.5        6.5     0.53       3.3      0.27
Flowsheet.my_model.pos(95)      3.14219    0.5        6.5     0.31       10       0.16
Flowsheet.my_model.pos(96)      0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(97)      1.66491    0.5        6.5     0.56       3        0.29
Flowsheet.my_model.pos(98)      5.07426    0.5        6.5     0.41       12       0.21
Flowsheet.my_model.pos(99)      1.1438     0.5        6.5     0.81       1.4      0.41
Flowsheet.my_model.pos(100)     2.77319    0.5        6.5     0.34       8.2      0.17
Flowsheet.my_model.pos(101)     1.45692    0.5        6.5     0.64       2.3      0.33
Flowsheet.my_model.pos(102)     1.75645    0.5        6.5     0.53       3.3      0.27
Flowsheet.my_model.pos(103)     2.60707    0.5        6.5     0.35       7.4      0.18
Flowsheet.my_model.pos(104)     2.52246    0.5        6.5     0.37       6.9      0.19
Flowsheet.my_model.pos(105)     2.45997    0.5        6.5     0.37       6.6      0.19
Flowsheet.my_model.pos(106)     1.89862    0.5        6.5     0.49       3.9      0.25
Flowsheet.my_model.pos(107)     2.04814    0.5        6.5     0.45       4.5      0.23
Flowsheet.my_model.pos(108)     1.7722     0.5        6.5     0.53       3.4      0.27
Flowsheet.my_model.pos(109)     1.99022    0.5        6.5     0.47       4.3      0.24
Flowsheet.my_model.pos(110)     1.77686    0.5        6.5     0.52       3.4      0.27
Flowsheet.my_model.pos(111)     2.18507    0.5        6.5     0.42       5.2      0.21
Flowsheet.my_model.pos(112)     2.01979    0.5        6.5     0.46       4.4      0.23
Flowsheet.my_model.pos(113)     2.28706    0.5        6.5     0.4        5.7      0.2
Flowsheet.my_model.pos(114)     1.88505    0.5        6.5     0.49       3.8      0.25
Flowsheet.my_model.pos(115)     0.979559   0.5        6.5     0.9        1.1      0.46
Flowsheet.my_model.pos(116)     0.998581   0.5        6.5     0.9        1.1      0.46
Flowsheet.my_model.pos(117)     2.67635    0.5        6.5     0.35       7.7      0.18
Flowsheet.my_model.pos(118)     1.49777    0.5        6.5     0.62       2.4      0.32
Flowsheet.my_model.pos(119)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(120)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(121)     1.04735    0.5        6.5     0.86       1.2      0.44
Flowsheet.my_model.pos(122)     3.78254    0.5        6.5     0.31       12       0.16
Flowsheet.my_model.pos(123)     1.79189    0.5        6.5     0.52       3.4      0.27
