------------------------------------------------
gPROMS Parameter Estimation
------------------------------------------------


Estimation Name                   :  my_model
Final Optimisation Status         :  Optimal Solution Found
Objective function                :  -9917.45
    Constant term                 :  3528.72
    Variance term                 :  -15366.9
    Least squares term            :  1920.74

Statistical Analysis:
=====================

Estimated Parameters:
---------------------
                                Final      Lower      Upper   95% Conf.  95%      Standard
Parameter                       Value      Bound      Bound   Interval   t-value  Deviation
------------
Flowsheet.my_model.pos(312)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(313)     0.533897   0.5        6.5     1.3        0.42     0.65
Flowsheet.my_model.pos(314)     0.5        0.5        6.5     1.3        0.38     0.66
Flowsheet.my_model.pos(315)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(316)     3.10029    0.5        6.5     0.32       9.8      0.16
Flowsheet.my_model.pos(317)     1.2715     0.5        6.5     0.73       1.7      0.37
Flowsheet.my_model.pos(318)     4.1294     0.5        6.5     0.33       13       0.17
Flowsheet.my_model.pos(319)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(320)     4.62746    0.5        6.5     0.37       13       0.19
Flowsheet.my_model.pos(321)     4.35778    0.5        6.5     0.34       13       0.18
Flowsheet.my_model.pos(322)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(323)     3.10937    0.5        6.5     0.32       9.9      0.16
Flowsheet.my_model.pos(324)     2.5801     0.5        6.5     0.36       7.2      0.18
Flowsheet.my_model.pos(325)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(326)     0.720692   0.5        6.5     1.1        0.65     0.56
Flowsheet.my_model.pos(327)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(328)     0.5        0.5        6.5     1.3        0.38     0.66
Flowsheet.my_model.pos(329)     1.3935     0.5        6.5     0.67       2.1      0.34
Flowsheet.my_model.pos(330)     1.44557    0.5        6.5     0.65       2.2      0.33
Flowsheet.my_model.pos(331)     1.30661    0.5        6.5     0.71       1.8      0.36
Flowsheet.my_model.pos(332)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(333)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(334)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(335)     2.33795    0.5        6.5     0.39       6        0.2
Flowsheet.my_model.pos(336)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(337)     0.832231   0.5        6.5     1          0.83     0.51
Flowsheet.my_model.pos(338)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(339)     0.869413   0.5        6.5     0.98       0.89     0.5
Flowsheet.my_model.pos(340)     1.72983    0.5        6.5     0.54       3.2      0.28
Flowsheet.my_model.pos(341)     1.23723    0.5        6.5     0.75       1.7      0.38
Flowsheet.my_model.pos(342)     1.60837    0.5        6.5     0.58       2.8      0.3
Flowsheet.my_model.pos(343)     0.941331   0.5        6.5     0.93       1        0.47
Flowsheet.my_model.pos(344)     1.1897     0.5        6.5     0.78       1.5      0.4
Flowsheet.my_model.pos(345)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(346)     1.68741    0.5        6.5     0.55       3.1      0.28
Flowsheet.my_model.pos(347)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(348)     1.34874    0.5        6.5     0.69       1.9      0.35
Flowsheet.my_model.pos(349)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(350)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(351)     4.44542    0.5        6.5     0.35       13       0.18
Flowsheet.my_model.pos(352)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(353)     0.83717    0.5        6.5     1          0.83     0.51
Flowsheet.my_model.pos(354)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(355)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(356)     1.28327    0.5        6.5     0.73       1.8      0.37
Flowsheet.my_model.pos(357)     3.16327    0.5        6.5     0.31       10       0.16
Flowsheet.my_model.pos(358)     0.556408   0.5        6.5     1.2        0.45     0.64
Flowsheet.my_model.pos(359)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(360)     0.5        0.5        6.5     1.3        0.38     0.66
Flowsheet.my_model.pos(361)     2.44272    0.5        6.5     0.38       6.5      0.19
Flowsheet.my_model.pos(362)     2.80931    0.5        6.5     0.34       8.4      0.17
Flowsheet.my_model.pos(363)     3.08621    0.5        6.5     0.32       9.7      0.16
Flowsheet.my_model.pos(364)     3.20469    0.5        6.5     0.32       10       0.16
Flowsheet.my_model.pos(365)     2.91377    0.5        6.5     0.33       8.9      0.17
Flowsheet.my_model.pos(366)     2.81519    0.5        6.5     0.34       8.4      0.17
Flowsheet.my_model.pos(367)     2.56121    0.5        6.5     0.36       7.1      0.18
Flowsheet.my_model.pos(368)     2.66516    0.5        6.5     0.35       7.6      0.18
Flowsheet.my_model.pos(369)     2.39545    0.5        6.5     0.38       6.2      0.2
Flowsheet.my_model.pos(370)     2.22061    0.5        6.5     0.41       5.4      0.21
Flowsheet.my_model.pos(371)     2.36769    0.5        6.5     0.39       6.1      0.2
Flowsheet.my_model.pos(372)     2.49708    0.5        6.5     0.37       6.8      0.19
Flowsheet.my_model.pos(373)     2.41236    0.5        6.5     0.38       6.3      0.19
Flowsheet.my_model.pos(374)     2.71279    0.5        6.5     0.34       7.9      0.18
Flowsheet.my_model.pos(375)     2.77411    0.5        6.5     0.34       8.1      0.17
Flowsheet.my_model.pos(376)     2.51429    0.5        6.5     0.37       6.8      0.19
Flowsheet.my_model.pos(377)     2.93064    0.5        6.5     0.33       9        0.17
Flowsheet.my_model.pos(378)     2.95654    0.5        6.5     0.33       9.1      0.17
Flowsheet.my_model.pos(379)     2.1989     0.5        6.5     0.42       5.3      0.21
Flowsheet.my_model.pos(380)     2.93124    0.5        6.5     0.33       9        0.17
Flowsheet.my_model.pos(381)     2.66276    0.5        6.5     0.35       7.6      0.18
Flowsheet.my_model.pos(382)     2.17367    0.5        6.5     0.42       5.1      0.22
Flowsheet.my_model.pos(383)     1.92577    0.5        6.5     0.48       4        0.25
Flowsheet.my_model.pos(384)     2.08328    0.5        6.5     0.44       4.7      0.23
                              
Sensor Group 1: CONSTANT_VARIANCE            
  omega                         0.0182827  1E-005     0.1     0.00062    29       0.00032
                              
Variance-covariance matrix of estimated parameters:
---------------------------------------------------
 2.248E-005
-3.357E-006  5.087E-002
 1.730E-005  1.421E-004  7.360E-002
 1.585E-006  1.168E-006  1.437E-004  5.414E-002
-8.007E-006  1.124E-006 -4.892E-006  1.531E-004  3.141E-002
 4.161E-006 -5.849E-007  3.364E-006  1.770E-006  1.486E-004  4.442E-002
-6.534E-007  1.263E-007 -3.846E-007  7.688E-009  1.699E-006  1.428E-004  3.789E-002
-8.869E-008  4.280E-008  5.310E-008  3.545E-008  5.990E-010  1.433E-006  1.434E-004  3.920E-002
-5.365E-006  7.969E-007 -4.145E-006 -3.840E-007  1.917E-006 -9.821E-007  1.635E-006  1.455E-004  3.444E-002
 1.268E-007 -3.370E-008  3.697E-008 -1.184E-008 -2.263E-008  1.395E-008  3.035E-009  1.518E-006  1.491E-004  3.285E-002
-9.194E-006  1.351E-006 -7.164E-006 -6.785E-007  3.307E-006 -1.716E-006  2.562E-007  4.192E-008  3.983E-006  1.683E-004  2.642E-002
 3.032E-006 -4.380E-007  2.393E-006  2.344E-007 -1.102E-006  5.708E-007 -8.050E-008 -4.008E-009 -7.088E-007  1.667E-006  1.664E-004  3.534E-002
-3.267E-006  4.744E-007 -2.569E-006 -2.491E-007  1.184E-006 -6.134E-007  8.802E-008  5.776E-009  7.806E-007  1.909E-009  3.165E-006  1.523E-004  3.036E-002
 1.079E-005 -1.620E-006  8.264E-006  7.474E-007 -3.828E-006  1.991E-006 -3.184E-007 -4.750E-008 -2.574E-006  6.349E-008 -4.389E-006  3.157E-006  1.607E-004  2.871E-002
-6.833E-006  1.014E-006 -5.283E-006 -4.902E-007  2.443E-006 -1.269E-006  1.954E-007  2.369E-008  1.631E-006 -3.691E-008  2.797E-006 -9.055E-007  2.804E-006  1.646E-004  2.795E-002
 5.253E-006 -8.048E-007  3.958E-006  3.415E-007 -1.840E-006  9.589E-007 -1.632E-007 -3.156E-008 -1.252E-006  3.505E-008 -2.140E-006  7.030E-007 -7.404E-007  4.348E-006  1.624E-004  3.014E-002
-3.037E-006  4.434E-007 -2.379E-006 -2.284E-007  1.097E-006 -5.688E-007  8.302E-008  6.588E-009  7.255E-007 -1.444E-008  1.246E-006 -4.122E-007  4.439E-007 -1.438E-006  2.666E-006  1.545E-004  3.275E-002
-3.812E-006  5.594E-007 -2.974E-006 -2.825E-007  1.373E-006 -7.120E-007  1.057E-007  9.828E-009  9.103E-007 -1.890E-008  1.563E-006 -5.166E-007  5.562E-007 -1.828E-006  1.177E-006  7.665E-007  1.516E-004  3.223E-002
 1.775E-005 -2.687E-006  1.351E-005  1.199E-006 -6.264E-006  3.261E-006 -5.350E-007 -8.970E-008 -4.232E-006  1.099E-007 -7.243E-006  2.383E-006 -2.570E-006  8.524E-006 -5.389E-006  4.177E-006 -7.284E-007  1.536E-004  3.022E-002
-8.716E-007  1.139E-007 -7.372E-007 -8.422E-008  3.351E-007 -1.719E-007  1.697E-008 -5.155E-009  2.092E-007 -6.234E-010  3.627E-007 -1.218E-007  1.305E-007 -4.156E-007  2.667E-007 -1.975E-007  1.366E-007  1.788E-006  1.563E-004  3.216E-002
 9.188E-006 -1.387E-006  7.006E-006  6.257E-007 -3.248E-006  1.690E-006 -2.751E-007 -4.449E-008 -2.191E-006  5.595E-008 -3.751E-006  1.235E-006 -1.331E-006  4.412E-006 -2.790E-006  2.152E-006 -1.238E-006 -1.539E-006  8.939E-006  1.520E-004  3.277E-002
-1.966E-006  3.230E-007 -1.393E-006 -9.731E-008  6.555E-007 -3.448E-007  7.230E-008  2.332E-008  4.670E-007 -1.887E-008  7.927E-007 -2.574E-007  2.786E-007 -9.486E-007  5.944E-007 -4.702E-007  2.603E-007  3.284E-007 -1.556E-006  1.612E-006  1.481E-004  4.506E-002
 2.486E-007  5.104E-008  5.532E-007  1.415E-007 -2.231E-007  1.036E-007  3.830E-008  4.579E-008 -6.592E-008 -2.196E-008 -1.359E-007  5.683E-008 -5.732E-008  1.046E-007 -8.527E-008  2.574E-008 -4.967E-008 -5.768E-008  1.377E-007 -2.011E-008  1.718E-006  1.477E-004  7.934E-002
 1.053E-006 -5.966E-007 -9.931E-007 -5.438E-007  2.955E-007 -9.200E-008 -2.575E-007 -2.372E-007 -2.183E-007  1.224E-007 -2.597E-007  2.583E-008 -4.733E-008  5.788E-007 -2.716E-007  4.072E-007 -6.210E-008 -1.011E-007  1.124E-006  8.703E-008  5.690E-007  1.232E-006  1.439E-004  1.180E-001
-1.742E-006 -6.126E-008 -2.659E-006 -5.748E-007  1.111E-006 -5.322E-007 -1.153E-007 -1.636E-007  4.397E-007  7.534E-008  8.372E-007 -3.198E-007  3.303E-007 -7.821E-007  5.647E-007 -2.890E-007  2.939E-007  3.519E-007 -1.161E-006  1.609E-007 -6.219E-007 -4.984E-009  7.641E-007  1.461E-004  9.067E-002
 1.178E-005  2.564E-004  7.554E-006  7.927E-007 -4.195E-006  2.180E-006 -3.422E-007 -4.633E-008 -2.810E-006  6.637E-008 -4.816E-006  1.588E-006 -1.711E-006  5.652E-006 -3.579E-006  2.751E-006 -1.591E-006 -1.997E-006  9.297E-006 -4.566E-007  4.813E-006 -1.030E-006  1.306E-007  5.498E-007 -9.136E-007  3.311E-001
-2.886E-004  5.122E-005  2.240E-004 -1.234E-005  1.030E-004 -5.347E-005  8.347E-006  1.096E-006  6.887E-005 -1.607E-006  1.180E-004 -3.894E-005  4.195E-005 -1.385E-004  8.772E-005 -6.740E-005  3.900E-005  4.895E-005 -2.278E-004  1.121E-005 -1.179E-004  2.520E-005 -3.318E-006 -1.289E-005  2.282E-005  7.889E-004  6.121E-002
 1.686E-005 -2.484E-006  1.415E-005  1.403E-004 -2.942E-006  3.175E-006 -4.764E-007 -5.300E-008 -4.025E-006  8.836E-008 -6.905E-006  2.280E-006 -2.456E-006  8.087E-006 -5.127E-006  3.930E-006 -2.282E-006 -2.863E-006  1.329E-005 -6.611E-007  6.883E-006 -1.461E-006  2.267E-007  5.890E-007 -1.453E-006  5.957E-006  2.098E-004  6.461E-002
 2.624E-006 -3.283E-007  2.301E-006  2.970E-006  1.492E-004  3.352E-006 -3.924E-009  2.374E-008 -6.310E-007 -2.004E-009 -1.098E-006  3.707E-007 -3.966E-007  1.249E-006 -8.046E-007  5.899E-007 -3.661E-007 -4.562E-007  2.030E-006 -1.202E-007  1.055E-006 -1.961E-007  1.294E-007 -3.771E-007 -5.690E-007  1.351E-006 -2.979E-005  1.410E-004  4.942E-002
-1.242E-005  1.794E-006 -9.799E-006 -9.168E-007  7.624E-006  1.484E-004  3.380E-006  5.999E-008  2.967E-006 -5.422E-008  5.100E-006 -1.690E-006  1.818E-006 -5.948E-006  3.780E-006 -2.879E-006  1.688E-006  2.116E-006 -9.761E-006  4.987E-007 -5.057E-006  1.054E-006 -2.316E-007 -1.113E-007  1.306E-006 -6.504E-006  1.595E-004 -7.771E-006  1.496E-004  3.009E-002
-1.140E-006  2.013E-007 -7.496E-007 -3.619E-008  4.016E-007  2.718E-006  1.431E-004  2.878E-006  3.097E-007 -1.418E-008  4.540E-007 -1.455E-007  1.581E-007 -5.522E-007  3.430E-007 -2.777E-007  1.483E-007  1.878E-007 -9.205E-007  3.516E-008 -4.745E-007  1.160E-007  3.654E-008 -2.983E-007 -9.083E-008 -5.969E-007  1.459E-005 -8.274E-007  1.358E-006  1.489E-004  3.635E-002
-5.885E-007  1.240E-007 -3.047E-007  9.308E-009  1.550E-007 -4.744E-008  2.866E-006  1.407E-004  2.975E-006  2.691E-008  2.272E-007 -6.980E-008  7.682E-008 -2.884E-007  1.749E-007 -1.507E-007  7.291E-008  9.342E-008 -4.886E-007  1.232E-008 -2.506E-007  7.048E-008  5.061E-008 -3.122E-007 -1.626E-007 -3.081E-007  7.502E-006 -4.247E-007 -1.512E-008  1.806E-006  1.413E-004  4.749E-002
 4.168E-006 -6.829E-007  2.959E-006  2.087E-007 -1.392E-006  7.325E-007 -9.718E-008  4.104E-006  2.275E-004  4.729E-006 -1.600E-006  5.467E-007 -5.910E-007  2.010E-006 -1.260E-006  9.960E-007 -5.520E-007 -6.961E-007  3.331E-006 -1.440E-007  1.720E-006 -3.964E-007 -4.964E-008  6.723E-007  2.600E-008  2.183E-006 -5.342E-005  3.098E-006  4.178E-007 -2.216E-006  1.871E-006  1.902E-004  1.816E-001
 5.618E-007 -4.627E-008  5.868E-007  9.253E-008 -2.575E-007  1.286E-007  3.529E-009  5.537E-008  2.733E-006  1.469E-004  3.337E-006  1.290E-007 -9.015E-008  2.633E-007 -1.749E-007  1.175E-007 -8.277E-008 -1.019E-007  4.185E-007 -3.272E-008  2.191E-007 -2.932E-008  6.575E-008 -2.704E-007 -2.605E-007  2.945E-007 -7.266E-006  4.386E-007  1.084E-007 -3.504E-007  4.519E-009  1.301E-006  1.940E-004  4.563E-002
 8.852E-006 -1.368E-006  6.621E-006  5.587E-007 -3.082E-006  1.608E-006 -2.812E-007 -5.900E-008 -2.062E-006  3.447E-006  1.697E-004  4.529E-006 -1.226E-006  4.257E-006 -2.685E-006  2.085E-006 -1.187E-006 -1.493E-006  7.019E-006 -3.297E-007  3.630E-006 -7.987E-007  2.446E-008  7.805E-007 -4.182E-007  4.637E-006 -1.136E-004  6.618E-006  9.805E-007 -4.839E-006 -4.745E-007 -2.480E-007  4.291E-006  1.564E-004  2.860E-002
 5.228E-006 -7.439E-007  4.174E-006  4.202E-007 -1.918E-006  9.916E-007 -1.330E-007 -1.126E-009 -1.250E-006  6.450E-008  1.403E-006  1.446E-004  2.275E-006  2.551E-006 -1.592E-006  1.208E-006 -7.130E-007 -8.929E-007  4.103E-006 -2.134E-007  2.126E-006 -4.379E-007  1.159E-007 -4.482E-008 -6.168E-007  2.739E-006 -6.716E-005  3.938E-006  6.521E-007 -2.926E-006 -2.446E-007 -1.129E-007  9.462E-007  1.580E-006  1.577E-004  4.350E-002
 3.076E-005 -4.442E-006  2.430E-005  2.382E-006 -1.119E-005  5.793E-006 -8.156E-007 -4.075E-008 -7.351E-006  1.338E-007 -1.259E-005  7.198E-006  1.552E-004  1.837E-005 -9.314E-006  7.132E-006 -4.183E-006 -5.243E-006  2.418E-005 -1.237E-006  1.253E-005 -2.610E-006  5.805E-007  2.431E-007 -3.259E-006  1.611E-005 -3.951E-004  2.314E-005  3.764E-006 -1.715E-005 -1.475E-006 -7.067E-007  5.538E-006  8.839E-007  1.362E-005  1.483E-004  5.791E-002
-1.187E-004  1.771E-005 -9.133E-005 -8.371E-006  4.227E-005 -2.197E-005  3.446E-006  4.650E-007  2.831E-005 -6.678E-007  4.852E-005 -1.592E-005  2.330E-005  2.284E-004  4.234E-005 -2.762E-005  1.603E-005  2.012E-005 -9.366E-005  4.602E-006 -4.849E-005  1.037E-005 -1.321E-006 -5.513E-006  9.224E-006 -6.215E-005  1.523E-003 -8.899E-005 -1.386E-005  6.553E-005  6.012E-006  3.102E-006 -2.199E-005 -2.969E-006 -4.668E-005 -2.481E-005  1.361E-004  3.262E-002
 1.651E-005 -2.495E-006  1.259E-005  1.123E-006 -5.837E-006  3.037E-006 -4.951E-007 -8.069E-008 -3.938E-006  1.009E-007 -6.741E-006  2.219E-006 -2.346E-006  1.174E-005  1.771E-004  7.558E-006 -2.179E-006 -2.794E-006  1.306E-005 -6.317E-007  6.757E-006 -1.460E-006  1.362E-007  1.005E-006 -1.110E-006  8.650E-006 -2.119E-004  1.237E-005  1.894E-006 -9.088E-006 -8.535E-007 -4.512E-007  3.093E-006  3.929E-007  6.527E-006  3.830E-006  2.354E-005  2.378E-004  7.508E-002
-6.249E-005  9.367E-006 -4.795E-005 -4.355E-006  2.220E-005 -1.154E-005  1.834E-006  2.651E-007  1.491E-005 -3.618E-007  2.554E-005 -8.417E-006  9.072E-006 -2.992E-005  2.350E-005  1.898E-004  1.271E-005  1.065E-005 -4.935E-005  2.412E-006 -2.555E-005  5.484E-006 -6.354E-007 -3.204E-006  4.639E-006 -3.273E-005  8.022E-004 -4.685E-005 -7.255E-006  3.447E-005  3.188E-006  1.658E-006 -1.162E-005 -1.538E-006 -2.463E-005 -1.451E-005 -8.539E-005  3.336E-004  1.951E-004  2.516E-002
 8.131E-006 -1.209E-006  6.278E-006  5.802E-007 -2.903E-006  1.508E-006 -2.337E-007 -2.939E-008 -1.940E-006  4.452E-008 -3.327E-006  1.098E-006 -1.183E-006  3.902E-006 -2.416E-006  5.724E-006  1.712E-004  2.001E-006  6.457E-006 -3.164E-007  3.321E-006 -7.085E-007  9.789E-008  3.410E-007 -6.590E-007  4.259E-006 -1.044E-004  6.100E-006  9.549E-007 -4.495E-006 -4.094E-007 -2.095E-007  1.502E-006  2.066E-007  3.197E-006  1.894E-006  1.114E-005 -4.288E-005  7.193E-006  2.363E-004  8.942E-002
 1.580E-005 -2.335E-006  1.226E-005  1.148E-006 -5.666E-006  2.941E-006 -4.466E-007 -4.935E-008 -3.773E-006  8.265E-008 -6.472E-006  2.137E-006 -2.302E-006  7.580E-006 -4.805E-006  3.740E-006  1.743E-006  1.988E-004  1.596E-005 -5.908E-007  6.451E-006 -1.369E-006  2.134E-007  5.472E-007 -1.365E-006  8.278E-006 -2.029E-004  1.186E-005  1.873E-006 -8.753E-006 -7.875E-007 -3.978E-007  2.903E-006  4.114E-007  6.202E-006  3.691E-006  2.169E-005 -8.340E-005  1.160E-005 -4.099E-005  1.491E-004  1.270E-001
