	Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename	DateTime	FileName	Start.Time	Treatment	Medium	Screen	Library	Plate	RepQuad	ExptTime	ORF	Gene	ID
10	11	1	4385.0	320.0	380	0.0224601702866	0.495566991134	0.0188439216805	0.0124954907107	0.00364502076492	0.00554647361611	0.0202222484548	0.0460592032295	65.6772036643	64.18177016	61.1388993147	56.6454031465	56.4374795149	55.6837921993	58.0	58.0	57.0	56.0	56.0	56.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	HIS3	HIS3	K000134_027_078_R01C11
11	12	1	4772.0	317.0	380	0.0197011664743	0.562844014577	0.0177287379816	0.000730784828384	0.0064146945315	0.000495500284879	0.00782725253607	0.0788986022416	64.4873015679	62.5270920284	58.181217336	56.6082448233	55.6647861578	53.8166976583	55.0	55.0	54.0	55.0	54.0	53.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	HIS3	HIS3	K000134_027_078_R01C12
12	1	2	488.0	718.0	380	0.0	0.397207238859	0.0	-0.0168535334448	9.14675843918e-05	-0.0179829381486	1.17581137288	0.00540778859335	50.7819594513	50.7353231933	49.9247472207	49.9727206235	49.9466640762	49.2528285068	50.0	50.0	50.0	50.0	50.0	49.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	RAD52	RAD52	K000134_027_078_R02C01
13	2	2	886.0	719.0	380	0.0	0.309518396815	0.0	-0.0101398008937	3.15710584826e-05	-0.0101398008937	11.7722114156	0.00150866968401	52.1997774316	52.4427331404	52.236946361	51.5429657491	51.8271592621	51.5926609532	52.0	52.0	52.0	51.0	52.0	52.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	RAD52	RAD52	K000134_027_078_R02C02
14	3	2	1270.0	718.0	380	0.0	0.298909486708	0.0	-0.0022966636388	1.86043138862e-05	-0.00319078379907	31.293320762	0.000909335152004	53.7196358608	54.2038027195	53.6571790735	53.3644063633	53.8723899736	53.3971367089	54.0	54.0	54.0	53.0	54.0	53.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	RAD52	RAD52	K000134_027_078_R02C03
15	4	2	1677.0	722.0	380	0.000738324453687	0.294528144612	0.00024995552726	0.00162490498866	2.83485622333e-05	0.00162490498866	2.762545489	0.00303800607601	54.4542732844	55.0844599336	54.2601160125	54.3817414825	55.0525159413	54.264981886	54.0	55.0	54.0	54.0	55.0	54.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	RAD52	RAD52	K000134_027_078_R02C04
16	5	2	2064.0	720.0	380	0.0026540342502	0.293005697123	0.000922710549101	0.00275430969243	1.51603828831e-05	0.00186020449176	164.507676621	0.000392667452002	55.0298826793	55.6990572026	54.7315261091	54.802266438	55.5408368087	54.5768211404	55.0	56.0	55.0	55.0	56.0	55.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	RAD52	RAD52	K000134_027_078_R02C05
17	6	2	2446.0	711.0	380	0.00422099358026	0.27687877598	0.00130924703038	0.00554647361611	1.50041787866e-05	0.00465235345584	97.4281573558	0.000496000992002	55.2980692675	56.149781051	55.240321457	55.0975621374	55.9885204203	55.02639827	55.0	56.0	55.0	55.0	56.0	55.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	RAD52	RAD52	K000134_027_078_R02C06
18	7	2	2839.0	716.0	380	0.00666167955443	0.246760493521	0.00174969132329	0.00667587831988	1.62033981259e-05	0.00578177311921	25.4467406527	0.00091622405467	55.9423785595	56.7571468453	55.7065605807	55.7941119982	56.6199229932	55.5281458922	56.0	57.0	56.0	56.0	57.0	56.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	RAD52	RAD52	K000134_027_078_R02C07
19	8	2	3226.0	713.0	380	0.00844516701235	0.168027224943	0.00150617556294	0.00946804224356	3.45688241778e-05	0.00857392208329	11.2582679763	0.00113666894	56.5677503997	57.2129883974	55.9092698126	56.3523557175	57.0519417074	55.908851536	56.0	57.0	56.0	56.0	57.0	56.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	RAD52	RAD52	K000134_027_078_R02C08
