Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename	Date.Time	Inoc.Time	Treatments	Medium	Screen.Name	RepQuad	MasterPlate.Number	Timeseries.order	Library.Name	ORF	Gene	ScreenID	Expt.Time	Growth
11	1	4385	320	380	0.0224601702866461	0.495566991133982	0.0188439216805291	0.012495490710737	0.00364502076491694	0.00554647361610621	0.0202222484547688	0.0460592032295176	65.6772036643174	64.1817701600011	61.1388993146781	56.6454031465093	56.4374795149131	55.6837921992789	58	58	57	56	56	56	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	HIS3	HIS3		0.342048611111111	0.0224601702866461
12	1	4772	317	380	0.0197011664743018	0.562844014576918	0.0177287379816183	0.000730784828384094	0.00641469453150255	0.000495500284879192	0.00782725253607282	0.0788986022416489	64.4873015678739	62.5270920284445	58.1812173359607	56.6082448233477	55.6647861577736	53.8166976582937	55	55	54	55	54	53	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	HIS3	HIS3		0.342048611111111	0.0197011664743018
1	2	488	718	380	0	0.397207238858922	0	-0.0168535334448236	9.14675843918445e-05	-0.0179829381485997	1.17581137288058	0.00540778859335496	50.7819594512565	50.7353231932569	49.9247472207288	49.9727206235286	49.9466640762497	49.252828506777	50	50	50	50	50	49	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	RAD52	RAD52		0.342048611111111	0
2	2	886	719	380	0	0.309518396814571	0	-0.0101398008936977	3.15710584825827e-05	-0.0101398008936977	11.772211415591	0.00150866968400603	52.1997774315602	52.4427331404407	52.236946361006	51.5429657491195	51.8271592621045	51.5926609531981	52	52	52	51	52	52	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	RAD52	RAD52		0.342048611111111	0
3	2	1270	718	380	0	0.298909486707862	0	-0.00229666363879575	1.86043138861531e-05	-0.00319078379906689	31.2933207619975	0.000909335152003637	53.7196358607974	54.2038027195206	53.6571790735192	53.3644063633059	53.8723899735681	53.3971367088856	54	54	54	53	54	53	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	RAD52	RAD52		0.342048611111111	0
4	2	1677	722	380	0.000738324453687385	0.294528144611845	0.00024995552725994	0.00162490498865523	2.83485622333342e-05	0.00162490498865523	2.76254548900053	0.00303800607601215	54.4542732843711	55.0844599335735	54.2601160125368	54.3817414825158	55.0525159412931	54.2649818860039	54	55	54	54	55	54	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	RAD52	RAD52		0.342048611111111	0.000738324453687385
5	2	2064	720	380	0.00265403425019979	0.293005697122505	0.000922710549101378	0.00275430969243128	1.51603828831249e-05	0.00186020449175726	164.507676620664	0.000392667452001571	55.0298826793313	55.6990572026427	54.7315261091388	54.8022664380091	55.5408368086682	54.5768211404295	55	56	55	55	56	55	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	RAD52	RAD52		0.342048611111111	0.00265403425019979
6	2	2446	711	380	0.00422099358026057	0.276878775979774	0.00130924703037822	0.00554647361610621	1.5004178786626e-05	0.00465235345583508	97.4281573557723	0.000496000992001984	55.2980692675159	56.1497810509554	55.2403214570064	55.0975621373929	55.9885204203146	55.0263982699654	55	56	55	55	56	55	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	RAD52	RAD52		0.342048611111111	0.00422099358026057
7	2	2839	716	380	0.0066616795544271	0.246760493520987	0.00174969132328616	0.00667587831988226	1.62033981258694e-05	0.00578177311920824	25.4467406527416	0.000916224054670332	55.942378559464	56.7571468453378	55.7065605806812	55.794111998244	56.6199229932047	55.5281458922088	56	57	56	56	57	56	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	RAD52	RAD52		0.342048611111111	0.0066616795544271
8	2	3226	713	380	0.00844516701234602	0.168027224943339	0.0015061755629434	0.00946804224355719	3.45688241777729e-05	0.00857392208328605	11.2582679763025	0.00113666894000455	56.5677503997376	57.2129883973597	55.9092698126358	56.3523557174795	57.0519417073777	55.9088515359775	56	57	56	56	57	56	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	RAD52	RAD52		0.342048611111111	0.00844516701234602
9	2	3614	730	380	0.0101191142162874	0.177017242923375	0.00183175910282443	0.00946804224355719	2.70910813560834e-05	0.00946804224355719	11.4408113416445	0.00115733564800463	56.8997509339975	57.546349626401	56.417847135741	56.8844431423429	57.4382538818901	56.3927259029841	57	57	56	57	57	56	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	RAD52	RAD52		0.342048611111111	0.0101191142162874
10	2	3996	725	380	0.0113629948890666	0.147381183651256	0.00180829012274863	0.012495490710737	1.82442674032033e-05	0.0105974469473332	24.3850279295782	0.000723334780002893	57.5695522109003	57.928998784706	56.9890156118538	57.3322937455057	57.6432813270096	56.7043396058723	58	58	57	57	58	57	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	RAD52	RAD52		0.342048611111111	0.0113629948890666
11	2	4361	741	380	0.00754821655918405	0.143089397289906	0.00109879629924278	0.00857392208328605	1.65626730867497e-05	0.00833863753978115	20.0843401070217	0.000785334904003141	56.5042126041115	56.6943815897164	55.8724182754802	56.5391751748533	56.6327839858509	55.7562665809149	56	57	56	56	57	56	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	RAD52	RAD52		0.342048611111111	0.00754821655918405
12	2	4775	705	380	0.00165579559582147	0.17004567342468	0.000498023612403351	0.0019033330102545	2.3488005379254e-05	0.00162490498865523	18.9323908840846	0.00088177954133686	55.6624939231891	55.4321827904716	53.9535731648031	55.1788972168962	55.043004058866	53.7950563178034	56	55	54	55	55	54	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	RAD52	RAD52		0.342048611111111	0.00165579559582147
1	3	517	1116	380	0	0.451732903465807	0	-0.0129319648173726	5.94996541493204e-05	-0.0142966690242507	15.8515540679053	0.00157066980800628	52.0460243389148	52.0219751730869	51.0378198676305	50.6266224383379	50.7996783394273	50.2541621119027	52	52	51	51	51	50	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	HIS3	HIS3		0.342048611111111	0
2	3	883	1113	380	0	0.367998291552139	0	-0.00711235242651787	2.63407971174352e-05	-0.0101398008936977	15.8187141070896	0.00141911394933901	52.5211816020517	52.7269323648889	52.3724143095153	51.6640906019053	52.0334634082536	51.6839506441979	52	53	52	52	52	52	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	HIS3	HIS3		0.342048611111111	0
3	3	1275	1106	380	0	0.368494292544141	0	-0.00229666363879575	3.45350592645966e-05	-0.00508882756247069	5.84912879745814	0.00233533800400934	53.4711633732777	54.0670206202913	53.4344469163037	53.0003708956038	53.6991818479328	53.0736664121305	53	54	53	53	54	53	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	HIS3	HIS3		0.342048611111111	0
4	3	1667	1105	380	0	0.363982061297456	3.03483112723681e-06	-0.0011672589350197	2.53459202828999e-05	-0.00140254347852461	9.10777445514789	0.00186000372000744	54.1983874630933	54.8963396169279	54.0202324172912	53.7613647441105	54.6771946926618	53.8397508800433	54	55	54	54	55	54	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	HIS3	HIS3		0.342048611111111	0
5	3	2059	1100	380	0.00121949566144432	0.365793842698797	0.00050927579154927	0.00162490498865523	1.32300144755829e-05	0.00162490498865523	185.350475903294	0.000413334160001653	54.2034501591367	55.5110642384979	53.9372492890638	54.124720297191	55.4299276574482	53.9522278464513	54	56	54	54	55	54	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	HIS3	HIS3		0.342048611111111	0.00121949566144432
6	3	2447	1103	380	0.00279452979703689	0.361336722673445	0.00100421493988425	0.00186020449175726	1.80637990666615e-05	0.00186020449175726	20.8032846693715	0.00122622467467157	54.6451231602227	55.8770113627698	53.9968352017082	54.5892631783322	55.8877994585207	54.1416043749798	55	56	54	55	56	54	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	HIS3	HIS3		0.342048611111111	0.00279452979703689
7	3	2841	1103	380	0.00460465567581282	0.37093296408815	0.00177585477038323	0.0048876529589371	1.42282671794688e-05	0.00465235345583508	87.3755456779661	0.000606223434669092	55.3059151267527	56.3037050793946	54.5590119788281	55.1140544920934	56.2795676551754	54.5362258530816	55	56	54	55	56	54	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	HIS3	HIS3		0.342048611111111	0.00460465567581282
8	3	3228	1101	380	0.00726962948794709	0.322490200535957	0.0023767953637241	0.00667587831988226	3.84906849571457e-05	0.00582490163770548	1.14749365572625	0.00493245430935306	55.8640334949693	57.0452011193472	55.053980731848	55.8815735958027	56.949627852117	55.1682799853581	56	57	55	56	57	55	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	HIS3	HIS3		0.342048611111111	0.00726962948794709
9	3	3615	1098	380	0.00852233392472638	0.30426905298255	0.00269399144765941	0.00946804224355719	2.68974753701281e-05	0.00857392208328605	7.39292793029751	0.00188755933067422	56.407874479261	57.2328608947654	55.9804383263901	56.2955848425138	57.0994227322686	55.8957749546998	56	57	56	56	57	56	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	HIS3	HIS3		0.342048611111111	0.00852233392472638
10	3	3994	1117	380	0.00877608810905772	0.193495498102107	0.00161792187101024	0.00857392208328605	1.48403116846149e-05	0.00946804224355719	17.0218083437558	0.000992001984003968	56.4333879236685	56.9985046995158	56.0187624608374	56.599113373707	57.127484560915	56.0696915599669	56	57	56	57	57	56	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	HIS3	HIS3		0.342048611111111	0.00877608810905772
11	3	4402	1083	380	0.007512548594305	0.236971362831615	0.00181843938029342	0.00857392208328605	1.92167693018218e-05	0.00833863753978115	14.6116340847533	0.00118489125867141	56.5349574115527	56.6843222186691	55.8314485886218	56.4587132771167	56.6462595474982	55.7550874848775	57	57	56	56	57	56	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	HIS3	HIS3		0.342048611111111	0.007512548594305
12	3	4777	1092	380	0.00592321668420239	0.190395491902095	0.00139747946395165	0.00857392208328605	1.94523510777254e-05	0.00554647361610621	35.4361137679481	0.000682001364002728	56.7109776394819	56.5831463926478	55.1441131775092	56.229316814581	56.1447886796627	54.7505084111195	57	57	55	56	56	55	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	HIS3	HIS3		0.342048611111111	0.00592321668420239
1	4	493	1494	380	0	0.392901674692238	0	-0.0101398008936977	3.6495506497103e-05	-0.0140613695211487	5.06953359565528	0.00259022740267703	52.0848090612617	52.1030087316338	51.2469053547007	51.0267001032601	51.1447002621217	50.4484550705232	52	52	51	51	51	51	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	RAD52	RAD52		0.342048611111111	0
2	4	907	1501	380	0	0.299708599417199	0	-0.00734763697002277	4.92157512855541e-05	-0.0101398008936977	3.95069169808873	0.00256267179201025	52.4913804992415	52.8648002574358	52.1732404725785	51.8368894791206	52.320554817766	51.7241453937337	52	53	52	52	52	52	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	RAD52	RAD52		0.342048611111111	0
3	4	1294	1499	380	0	0.311777956889247	0	-0.00229666363879575	0.000115532881986568	-0.00319078379906689	0.802197010376645	0.00580045604535654	53.5901498077688	54.3958637147024	53.2920367669804	53.2011551204669	53.9702411338999	53.0748526070288	53	54	53	53	54	53	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	RAD52	RAD52		0.342048611111111	0
4	4	1681	1497	380	0	0.329186213927983	0	-0.00206136413569372	1.71156641457533e-05	-0.0011672589350197	21.5312137332695	0.00115044674533794	53.6098985037146	54.7452338599979	53.4321230511667	53.8287360335196	54.8504354255669	53.4926778672363	54	55	54	54	55	54	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	RAD52	RAD52		0.342048611111111	0
5	4	2069	1495	380	0.0016164246899396	0.302353938041209	0.000422964419715423	0.00186020449175726	1.31276308940086e-05	0.00186020449175726	175.873088732214	0.000385778549334876	54.151651856915	55.592367281841	53.6693552061973	54.2566282548805	55.6634377067472	53.7254989088683	54	56	54	54	56	54	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	RAD52	RAD52		0.342048611111111	0.0016164246899396
6	4	2456	1492	380	0.00254989440686646	0.271787876909087	0.000626174690746361	0.00186020449175726	1.76864467092433e-05	0.00186020449175726	12.5194065768115	0.00137089163067215	54.4422730844296	55.8074417661521	53.8240184523357	54.5161766375298	55.9124664169221	53.8449880803723	54	56	54	54	56	54	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	RAD52	RAD52		0.342048611111111	0.00254989440686646
7	4	2843	1490	380	0.00391825140550651	0.216394210566199	0.000790383738428294	0.00275430969243128	1.35515007922882e-05	0.00465235345583508	60.1638216336306	0.000558001116002232	54.7713612632115	56.1618808098816	54.1524576594932	54.8750758248424	56.2535318991815	54.1670608093258	55	56	54	55	56	54	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	RAD52	RAD52		0.342048611111111	0.00391825140550651
8	4	3230	1488	380	0.00615767090158694	0.221657332203553	0.00133817513005132	0.00578177311920824	1.39218887564062e-05	0.00578177311920824	34.6652555630676	0.000744001488002976	55.425441322725	56.7559050223769	54.7122389358528	55.4776917289906	56.807514271806	54.6558569721644	55	57	55	55	57	55	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	RAD52	RAD52		0.342048611111111	0.00615767090158694
9	4	3628	1491	380	0.00764957201927916	0.177320354640709	0.00136429584587339	0.00667587831988226	1.58164257801201e-05	0.00857392208328605	11.1923314745192	0.00117111345333802	56.0174825174825	57.0337995337995	55.4345765345765	56.0665460848594	57.0057611307894	55.3295735255943	56	57	55	56	57	55	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	RAD52	RAD52		0.342048611111111	0.00764957201927916
10	4	4005	1483	380	0.00828608377772365	0.173827680988695	0.00148040105997247	0.00857392208328605	1.73293761892648e-05	0.00857392208328605	35.8858340552428	0.000647556850669257	56.4610628938295	57.1431458803947	55.5479728926406	56.4925955573344	57.0063538122874	55.5458191581616	56	57	55	56	57	55	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	RAD52	RAD52		0.342048611111111	0.00828608377772365
11	4	4392	1481	380	0.00654352769744385	0.361068055469444	0.00226783122198871	0.00554647361610621	1.68087732233139e-05	0.00554647361610621	100.387316416767	0.000558001116002232	56.1963825768416	56.37769255719	55.1829317154141	56.3045564324837	56.4782744641394	55.3007504204942	56	56	55	56	56	55	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	RAD52	RAD52		0.342048611111111	0.00654352769744385
12	4	4827	1498	380	0.00465636432301839	0.0882537320630197	0.000450127618837316	0.00465235345583508	2.71475234590764e-05	0.00465235345583508	7.25137489034527	0.00102644649733744	56.0832877995473	56.0466786355476	54.5433611739911	55.9696335474122	55.9188439743105	54.4103588968644	56	56	54	56	56	54	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	RAD52	RAD52		0.342048611111111	0.00465636432301839
1	5	522	1891	380	0	0.452022237377808	0	-0.0129319648173726	5.9305125240834e-05	-0.0140613695211487	9.22310683584961	0.00205978189734157	51.8593178493051	51.966730675445	50.9918465008534	50.6352504871456	50.8665283801622	50.1950719718398	51	52	51	51	51	50	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	HIS3	HIS3		0.342048611111111	0
2	5	909	1889	380	0	0.378076756153512	0	-0.00711235242651787	2.56915025754884e-05	-0.0101398008936977	76.4174572916632	0.000654445753335951	52.4856601435808	52.9673116868919	52.0512918625415	51.8368502087972	52.4941126950897	51.5835797915351	52	53	52	52	52	52	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	HIS3	HIS3		0.342048611111111	0
3	5	1296	1886	380	0	0.368480514738807	0	-0.00229666363879575	4.12986095939073e-05	-0.00229666363879575	1.23079427048485	0.00509089907068703	53.6871506291013	54.4820617323188	53.2607825908131	53.4541953922681	54.2502945283183	53.0381795968235	54	54	53	53	54	53	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	HIS3	HIS3		0.342048611111111	0
4	5	1684	1884	380	0	0.363162281880119	0	-0.0011672589350197	1.58592301044862e-05	-0.00206136413569372	7.31185483247616	0.00207355970267496	53.7236375362786	54.8760172240454	53.3333080410494	53.7646791571113	54.8262732032366	53.3142334818917	54	55	53	54	55	53	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	HIS3	HIS3		0.342048611111111	0
5	5	2071	1882	380	0.000442683233458936	0.35997271994544	0.000142101660225556	0.000730784828384094	1.37846452066847e-05	0.000730784828384094	107.929508560606	0.000537334408002149	53.9544915221801	55.318080912466	53.3526811344586	53.9396600901977	55.3657313227206	53.313722324475	54	55	53	54	55	53	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	HIS3	HIS3		0.342048611111111	0.000442683233458936
6	5	2458	1880	380	0.00121846362443689	0.408071038364299	0.000490386954776955	0.00162490498865523	1.37835511648443e-05	0.00181706101366289	165.823463959051	0.000461556478668513	54.2035755283949	55.4884192045378	53.6273381052063	54.1768169915624	55.5210707011929	53.5926680244399	54	55	54	54	56	53	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	HIS3	HIS3		0.342048611111111	0.00121846362443689
7	5	2845	1877	380	0.00221089079599033	0.33409111262667	0.000658856775778317	0.00186020449175726	1.39816421525985e-05	0.00186020449175726	153.54781448339	0.000434000868001736	54.3609707816978	55.6974245829639	53.8615172072499	54.4621575767607	55.8049532400894	53.8446060580982	54	56	54	54	56	54	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	HIS3	HIS3		0.342048611111111	0.00221089079599033
