r_HIS3_C12	K_HIS3_C12	r_RAD52_C12	K_RAD52_C12	x0_C12
1.79364391743	0.0796322582139	1.51623741197	0.100879303138	0.000463226889138
1.81544439835	0.0975396733949	1.45685752554	0.0784306597645	0.000520435425822
1.66623530222	0.0954891095266	1.19092385109	0.0845829473681	0.000449752498252
1.77457953767	0.0870813274885	1.41646866048	0.0771987080692	0.000479332501175
2.03213713099	0.0959788971641	1.32862889954	0.0787064717843	0.000478867049034
1.99119088034	0.0982954731064	1.15789420974	0.0667790239974	0.000442444572623
1.65063061692	0.152756898897	1.35555003361	0.130555157016	0.000478990848957
1.64085058505	0.104319134382	1.18737915082	0.0806041738522	0.000422955322045
1.96830423608	0.0650469649228	1.50942235723	0.0689629005794	0.000337453764725
1.67421508961	0.128237452547	1.21189591132	0.0571915580975	0.000661146152205
1.0054955454	0.0961035030086	1.07430137724	0.0718430403205	0.000409318842738
1.80101272907	0.0986929538239	1.20831874481	0.0807149238474	0.000525401226775
1.54057515663	0.0693203480252	1.51891079211	0.0774086090259	0.000338696145359
1.84220777202	0.108685963017	1.31112818279	0.064720360373	0.000440791287185
1.80261073068	0.0629921470089	1.67522296596	0.112575084467	0.000314279360581
2.08106005243	0.0900246816415	2.29063936756	0.0780635545744	0.00043659085545
2.14289007574	0.0978054023188	1.30217474727	0.0806077631961	0.000375016815998
1.86300256291	0.0975796969662	1.62213102038	0.0686876014377	0.00044107870761
1.49807272426	0.090274237373	2.01369922424	0.201368138755	0.00040158964976
1.77236090966	0.0815248604629	1.39850773509	0.108745921803	0.000510502339113
1.56452762659	0.0942575878433	1.43553391168	0.0459641490867	0.000396757195915
1.92407899603	0.0833241835045	1.4233831027	0.0612469454732	0.000416846050851
1.87001058543	0.0940479556935	1.32665319532	0.0570684409329	0.000429860689315
1.90641230765	0.0982520443534	1.42164590773	0.0700963890285	0.000457781654433
2.25479206675	0.0960595172778	1.65546510577	0.0705199340586	0.000314275443882
