Barcode	Row	Column	Col	ScreenID	Treatment	Medium	ORF	Screen.Name	Library.Name	MasterPlate.Number	Timeseries.order	Inoc.Time	TileX	TileY	XOffset	YOffset	Threshold	EdgeLength	EdgePixels	RepQuad	K	r	g	v	objval	tshift	t0	d0	nAUC	nSTP	nr	nr_t	maxslp	maxslp_t	Client	ExptDate	User	PI	Condition	Inoc	Gene	TrtMed	MDP	MDR	MDRMDP	glog_maxslp	DT	AUC	fit
K000343_027_001	1	2	2	MQFQFA0173	27	SDM_rhlk_CTGN	YOR202W	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	47	2015-02-19_10-01-07	174	174	605	348	NA	0.134824489796	0.134824489796	1	0.255633472376895	23.0332810002588	9e-04	0.0752501240247238	0.000979640475335777	0	0.234039351851852	0.0037774166737	0.399747967997989	0.265679254464272	5.24371292091708	0.237793105605606	0.211600224520048	1.14620151401401	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	HIS3	27_SDM_rhlk_CTGN	8.14993603683828	10.9204851469325	89.0012554387427	0.157123454719023	2.19770455955808	0.906401438352576	89.0012554387427
K000343_027_001	1	4	4	MQFQFA0173	27	SDM_rhlk_CTGN	YOR202W	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	47	2015-02-19_10-01-07	174	174	953	354	NA	0.132342857143	0.132342857143	1	0.235790357715645	9.89687050787718	9e-04	0.220007326581506	0.00074902566756616	0	0.234039351851852	0.00334354657683	0.395494075750015	0.243737598666892	5.5932222420374	0.237793105605606	0.217785434719897	1.14620151401401	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	HIS3	27_SDM_rhlk_CTGN	8.03336400594691	9.74335797419012	78.2719412469147	0.17043358019162	2.46321648692118	0.865228240140784	78.2719412469147
K000343_027_001	1	6	6	MQFQFA0173	27	SDM_rhlk_CTGN	YOR202W	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	47	2015-02-19_10-01-07	174	174	1306	352	NA	0.139102040816	0.139102040816	1	0.219531955400168	8.51393313090598	9e-04	0.271100374455155	0.000761257864864186	0	0.234039351851852	0.00276515712535	0.371609723619061	0.227156916446664	5.74820171369339	0.237793105605606	0.209192432966687	1.14244776026026	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	HIS3	27_SDM_rhlk_CTGN	7.93029023911644	9.23522785566786	73.2380373198191	0.16454818888969	2.59874476028988	0.810013195528238	73.2380373198191
K000343_027_001	1	8	8	MQFQFA0173	27	SDM_rhlk_CTGN	YOR202W	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	47	2015-02-19_10-01-07	174	174	1652	354	NA	0.125714285714	0.125714285714	1	0.234819048197747	8.27282574290496	9e-04	0.288571947263404	0.000871243520370672	0	0.234039351851852	0.00252115782837	0.399714711328213	0.243817350730489	5.84447247746311	0.237793105605606	0.236763095829984	1.05235767017017	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	HIS3	27_SDM_rhlk_CTGN	8.02740872584916	9.28013758338244	74.4954574139249	0.180704354195587	2.58616855454555	0.869429760120766	74.4954574139249
K000343_027_001	1	10	10	MQFQFA0173	27	SDM_rhlk_CTGN	YOR202W	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	47	2015-02-19_10-01-07	174	174	1996	352	NA	0.139820408163	0.139820408163	1	0.206482317781681	7.50335436551817	9e-04	0.281094444989183	0.000615105355156791	0	0.234039351851852	0.00209339024184	0.325127882990468	0.212125208647227	5.77198852436567	0.237793105605606	0.17631699029394	1.15370902152152	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	HIS3	27_SDM_rhlk_CTGN	7.84187752423044	8.22910552746317	64.5316376803339	0.140827351882381	2.91647736438721	0.735818212783676	64.5316376803339
K000343_027_001	1	12	12	MQFQFA0173	27	SDM_rhlk_CTGN	YOR202W	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	47	2015-02-19_10-01-07	174	174	2345	354	NA	0.154612244898	0.154612244898	1	0.211120910630795	7.65474915147812	9e-04	0.32067324640524	0.000718706546134173	0	0.234039351851852	0.00208338861033	0.362271413636519	0.217181597864416	6.12524036625928	0.237793105605606	0.211033747726241	1.05235767017017	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	HIS3	27_SDM_rhlk_CTGN	7.87392876180684	8.892623840561	70.0198866261224	0.164830099798334	2.69886598492239	0.783917222974411	70.0198866261224
K000343_027_001	1	14	14	MQFQFA0173	27	SDM_rhlk_CTGN	YOR202W	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	47	2015-02-19_10-01-07	174	174	2700	352	NA	0.126497959184	0.126497959184	1	0.185304556823688	7.14809577333178	9e-04	0.362754034876078	0.000595297896427206	0	0.234039351851852	0.00215915386272	0.325426315989857	0.190265766226552	5.94864605995227	0.237793105605606	0.18777261777389	1.05235767017017	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	HIS3	27_SDM_rhlk_CTGN	7.68575764232971	8.61320091369846	66.1989747473792	0.150218727718988	2.78642054684111	0.694976748523944	66.1989747473792
K000343_027_001	1	16	16	MQFQFA0173	27	SDM_rhlk_CTGN	YOR202W	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	47	2015-02-19_10-01-07	174	174	3048	352	NA	0.128	0.128	1	0.190001980798811	6.53467409473621	9e-04	0.397289541717929	0.000493428138722987	0	0.234039351851852	0.00271845414338	0.32633912891487	0.194733991874641	5.21242136974465	0.237793105605606	0.181680242222343	1.14620151401401	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	HIS3	27_SDM_rhlk_CTGN	7.72187374216403	8.13185890849039	62.7931877804546	0.152092839640618	2.95135469885512	0.704715626303627	62.7931877804546
K000343_027_001	1	18	18	MQFQFA0173	27	SDM_rhlk_CTGN	YOR202W	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	47	2015-02-19_10-01-07	174	174	3396	354	NA	0.135902040816	0.135902040816	1	0.203773371499319	7.96530631233036	9e-04	0.300976283370647	0.000691861465112463	0	0.234039351851852	0.00270983730309	0.349643021292828	0.210085693851482	5.24904809089399	0.237793105605606	0.199471611225938	1.05235767017017	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	HIS3	27_SDM_rhlk_CTGN	7.82282481992534	8.9903970475455	70.3303011645224	0.156657215688329	2.66951502509584	0.756321281393168	70.3303011645224
K000343_027_001	1	20	20	MQFQFA0173	27	SDM_rhlk_CTGN	YOR202W	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	47	2015-02-19_10-01-07	174	174	3743	358	NA	0.130644897959	0.130644897959	1	0.200987933246591	6.93912170822948	9e-04	0.362143236956018	0.000593877943723753	0	0.234039351851852	0.00294851176506	0.343128713702065	0.206950758809755	4.78884425806569	0.237793105605606	0.196825262986922	1.14620151401401	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	HIS3	27_SDM_rhlk_CTGN	7.80296817184848	8.40441423676239	65.5793767924871	0.157941983363425	2.85564220466666	0.743743966930854	65.5793767924871
K000343_027_001	1	22	22	MQFQFA0173	27	SDM_rhlk_CTGN	YOR202W	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	47	2015-02-19_10-01-07	174	174	4093	360	NA	0.130351020408	0.130351020408	1	0.231113766510867	9.08975826248145	9e-04	0.255063658396984	0.000728371810960198	0	0.234039351851852	0.00407501226174	0.396310575436067	0.239264301308346	4.58281009336758	0.237793105605606	0.218429114411806	1.14244776026026	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	HIS3	27_SDM_rhlk_CTGN	8.0044624810843	9.62639892784316	77.0541490458708	0.175199563718227	2.49314413207861	0.857142874829226	77.0541490458708
K000343_027_001	1	24	24	MQFQFA0173	27	SDM_rhlk_CTGN	YOR202W	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	47	2015-02-19_10-01-07	174	174	4434	360	NA	0.147591836735	0.147591836735	1	0.234173921118559	17.7244390475218	9e-04	0.099535026338705	0.000909495309017942	0	0.234039351851852	0.00303622341319	0.365797071304949	0.243578117523717	5.56468001624566	0.237793105605606	0.195147943387736	1.14620151401401	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	HIS3	27_SDM_rhlk_CTGN	8.02343970163854	10.3423006370413	82.980825537519	0.144831204975951	2.32056684893138	0.830320302691208	82.980825537519
K000343_027_001	2	2	2	MQFQFA0173	27	SDM_rhlk_CTGN	YPL127C	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	47	2015-02-19_10-01-07	174	174	603	524	NA	0.158530612245	0.158530612245	1	0.249470777964855	16.8578462311964	9e-04	0.111919906375798	0.000994612781237644	0	0.234039351851852	0.00314265560423	0.405131564844645	0.260232486360029	5.57282079916455	0.237793105605606	0.225127026279998	1.05235767017017	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	HHO1	27_SDM_rhlk_CTGN	8.11473011700182	10.8371072061205	87.9402002266838	0.164055437117063	2.21461313831475	0.901881002079891	87.9402002266838
K000343_027_001	2	4	4	MQFQFA0173	27	SDM_rhlk_CTGN	YMR038C	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	47	2015-02-19_10-01-07	174	174	958	518	NA	0.0332081632653	0.0332081632653	1	0.0316153066094318	2.63687205534835	0.0011	0.211964585552493	0.00021380755639122	0	0.234039351851852	0.000505369681076	0.0191089443665337	0.023884374163145	5.02522711090414	0.237793105605606	0.0341436148959887	3.9802855980981	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	CCS1	27_SDM_rhlk_CTGN	4.84504778216481	1.78915485292341	8.66854075210597	0.00588672314473156	13.4141547115304	0.0511039228601125	8.66854075210597
K000343_027_001	2	6	6	MQFQFA0173	27	SDM_rhlk_CTGN	YCL016C	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	47	2015-02-19_10-01-07	174	174	1305	528	NA	0.120783673469	0.120783673469	1	0.207248844493831	7.2058653903551	9e-04	0.294901182809375	0.000420711556836274	0	0.234039351851852	0.00335251119002	0.326790250024192	0.21084889156339	4.80956068129146	0.237793105605606	0.166752444619306	1.27382914164164	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	DCC1	27_SDM_rhlk_CTGN	7.84722334128499	8.07415753359385	63.3597174588297	0.141588348987823	2.97244633884638	0.736776525076688	63.3597174588297
K000343_027_001	2	8	8	MQFQFA0173	27	SDM_rhlk_CTGN	YIL009C-A	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	47	2015-02-19_10-01-07	174	174	1655	518	NA	0.0200816326531	0.0200816326531	1	0.025	1.00777508496495	0.0011	0.75	0.000209962929292971	0	0.234039351851852	0.000516244796747	0.0162047545047063	0.0122041014567898	3.87949742711058	0.237793105605606	0.0061929290220801	1.27382914164164	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	EST3	27_SDM_rhlk_CTGN	4.50635266602479	1.27013104910668	5.72365843934274	0.00512007248062861	18.8956879818661	0.037924720957439	5.72365843934274
