Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename
1	1	340.5	285.5	137	0.041769965685444062	0.30391801666580404	0.031363078912076882	0.00024739701771919856	0.01240997863088112	4.103025542374731e-05	0.090694893642997168	0.046684954194917444	113.53678474114442	121.74965940054496	115.16144414168937	86.520038664584732	99.865789278013239	101.31333184623392	102.0	112.0	110.0	85.0	99.0	100.0	DLR00012733	DLR00012733-2009-11-11_16-47-10
2	1	477.5	280.5	137	0.028885942692226683	0.32115314942290774	0.021180930715167978	0.000260761041809993	0.0014471069647064949	2.8558057981657731e-05	2.5172497953931647	0.0091092593551058438	100.95842062852539	112.59709911361804	111.97276390008058	83.611161939615741	99.422156145166213	103.17329978652027	101.0	113.0	112.0	83.0	98.0	103.0	DLR00012733	DLR00012733-2009-11-11_16-47-10
3	1	620.5	296.5	137	0.030160943254864247	0.34128668288390868	0.020434037437624446	0.00024445965682585226	0.00078927264583176051	4.5028633075972419e-05	3.4939554659758971	0.0079706019357176135	96.921747042766157	111.75235062177737	113.31164695177434	82.648621041879466	100.86375422330478	105.91679107409445	98.0	112.0	113.0	82.0	100.0	106.0	DLR00012733	DLR00012733-2009-11-11_16-47-10
4	1	751.5	280.5	137	0.049116435933752964	0.52352362714145229	0.037672597963500552	0.00027663194238759537	0.0010594831227254758	8.8811795276207898e-05	1.3226726198152241	0.016044718182288701	99.435491843796342	115.06782006920415	116.68166089965398	84.55702802520095	103.39897892678688	108.55051053660657	99.0	115.0	116.0	84.0	103.0	108.0	DLR00012733	DLR00012733-2009-11-11_16-47-10
5	1	899.5	292.5	137	0.039987398724554854	0.35997101599296105	0.023631295413716096	0.00025906937536860025	0.00057015186789484559	8.9734597090714347e-05	6.3846232466117359	0.006055587184928316	96.561754133716747	113.7961179007908	116.64831056793673	84.106986899563324	104.11345625101083	109.49134724243895	97.0	114.0	116.0	83.0	104.0	109.0	DLR00012733	DLR00012733-2009-11-11_16-47-10
6	1	1024.5	297.5	137	0.040167738992959015	0.37213394751824441	0.023051446857961587	0.0002284811644791587	0.00085916001576462559	9.3240891995318342e-05	3.4006626036825791	0.008436416334558253	94.881502086230881	113.10013908205842	116.35410292072322	84.276564174429154	104.65954991344489	110.05028439535076	94.0	112.0	115.0	84.0	104.0	110.0	DLR00012733	DLR00012733-2009-11-11_16-47-10
7	1	1166.5	285.5	137	0.042786149732580069	0.40054862584752343	0.026016363169128989	0.00025447120586948935	0.00067232409748862023	9.3240891995318342e-05	11.006240627492716	0.0048651726101133479	95.433776973769227	114.03101175862514	116.84054787440238	83.848126403039203	105.14980141599032	110.24710758072872	96.0	114.0	116.0	83.0	105.0	110.0	DLR00012733	DLR00012733-2009-11-11_16-47-10
8	1	1299.5	280.5	137	0.047360590415206578	0.46508979866466538	0.031322972945573048	0.00025556308046399624	0.0008461601293334362	0.00010594364322831767	3.6454482935379495	0.0091092593551058438	96.171377698642331	114.6919652793234	116.86300912530604	84.33323657474601	105.71407837445574	110.55781325592646	96.0	114.0	116.0	83.0	105.0	110.0	DLR00012733	DLR00012733-2009-11-11_16-47-10
9	1	1436.5	280.5	137	0.047443795135368366	0.47570001552714664	0.032673990717416009	0.00025648576494832922	0.00085419011208589103	0.00010134547372920675	2.3435092995003481	0.01149008850473578	96.387553041018393	115.11195734958112	117.12610162115112	83.84777887462981	105.33326752221126	109.74017769002961	96.0	114.0	116.0	83.0	105.0	110.0	DLR00012733	DLR00012733-2009-11-11_16-47-10
10	1	1573.5	280.5	137	0.045288823479080809	0.60990631954867758	0.034859160944803166	0.00020925778885439898	0.00094431615808182113	8.9734597090714347e-05	3.4559058862425842	0.010713731173334714	93.038526816021729	112.29141208418194	114.6398506449423	83.576091283003848	104.92490380788112	109.34735305824599	92.0	111.0	113.0	83.0	104.0	109.0	DLR00012733	DLR00012733-2009-11-11_16-47-10
