Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename
1	1	340.5	285.5	137	0.0078219473361723461	0.16541586874385383	0.013015388858459823	0.00024704491279990199	0.0031951646178703958	-5.191582317920888e-06	0.23207586263112467	0.021530976657522901	127.53285356695869	135.53817271589486	124.57947434292866	91.261519379844955	103.57581395348838	102.93165891472869	112.0	123.0	119.0	90.0	103.0	102.0	DLR00012733	DLR00012733-2009-11-12_22-56-40
2	1	477.5	280.5	137	0.012258684365684084	0.15465038041509238	0.010293309742218371	0.00023634660645974583	0.0021301350549830845	7.3512990543193979e-06	1.3791851385015685	0.0085399306454117287	102.88788487282463	116.63052208835342	115.68440428380187	90.290210004285797	104.44474377028102	104.98359150186738	102.0	116.0	115.0	86.0	101.0	103.0	DLR00012733	DLR00012733-2009-11-12_22-56-40
3	1	620.5	296.5	137	0.020596205296197129	0.19885099114952642	0.018257751069370123	0.00033651943612963335	0.0031613051348225547	9.5279340619459864e-06	0.2844282914292578	0.021323948035815953	112.54294638209267	126.88729828214471	124.6280583029672	88.147360940629241	104.97629045803993	107.1175140512953	112.0	126.0	124.0	86.0	104.0	106.0	DLR00012733	DLR00012733-2009-11-12_22-56-40
4	1	751.5	280.5	137	0.028644878503589002	0.2561461622069251	0.02538668213932985	0.0003476313046138284	0.0045392375155202634	1.5112087424973843e-05	0.19620520672514835	0.029139278505253351	116.03435037381288	130.77833905839563	128.25338452212569	93.790982465905927	110.54473977177845	112.26495964375174	114.0	129.0	127.0	90.0	108.0	111.0	DLR00012733	DLR00012733-2009-11-12_22-56-40
5	1	899.5	292.5	137	0.019809172688451952	0.18285803012266447	0.015375526501080983	0.00030055099603368052	0.0024332053014481905	1.7933325760148202e-05	0.60008903790726309	0.014077946276072667	111.80101896405321	128.06227002547411	127.21766204358902	89.320433240435776	108.16512541170509	111.3349379275399	110.0	126.0	126.0	88.0	107.0	111.0	DLR00012733	DLR00012733-2009-11-12_22-56-40
6	1	1024.5	297.5	137	0.027155181764024209	0.24087780135603748	0.022784782728433772	0.00033082911088042896	0.0042505686773412574	1.8099943643732497e-05	0.18850629281392556	0.028828735572692925	114.32767511817791	130.63859045981951	128.61065749892566	88.424694893297882	108.03640826344856	111.2895616008727	112.0	128.0	127.0	87.0	107.0	111.0	DLR00012733	DLR00012733-2009-11-12_22-56-40
7	1	1166.5	285.5	137	0.020911609908919999	0.19377878991770611	0.017104177660947316	0.00031366378265439647	0.0033213822887352609	1.5464252138257453e-05	0.29701580503119079	0.020599347859841622	113.11004273504274	130.32772435897436	128.52136752136752	89.43987930923798	109.3205366887077	112.26860114271041	110.0	128.0	127.0	88.0	108.0	111.0	DLR00012733	DLR00012733-2009-11-12_22-56-40
8	1	1299.5	280.5	137	0.025407104271208302	0.22923244138502147	0.021155587528596167	0.00031822750633192851	0.0037158480892523129	1.67135039004752e-05	0.19445001467725315	0.027690078153304695	113.36012643937683	130.42673289681645	128.24768570783473	91.022293849046463	110.4969110932044	112.77048079505775	111.0	128.0	126.0	90.0	109.0	112.0	DLR00012733	DLR00012733-2009-11-12_22-56-40
9	1	1436.5	280.5	137	0.030794547390254619	0.2582164484239946	0.025909339730249299	0.00036902963997412084	0.0037637691339480494	1.9673228748258006e-05	0.15795823379954121	0.032607007918844778	116.72579675285628	133.67167769092003	130.30266586490279	90.394083170527495	110.30058610103265	112.06223834775328	115.0	132.0	130.0	89.0	109.0	111.0	DLR00012733	DLR00012733-2009-11-12_22-56-40
10	1	1573.5	280.5	137	0.052270997075540754	0.42559908907406446	0.04958044669781346	0.00043752364451082637	0.0068610048562417099	1.2406147928990088e-05	0.081212327066259457	0.058382071321360175	121.04657667517938	136.61583363735863	131.08986987717378	90.510722652730223	110.09569291764282	111.26383132095873	120.0	136.0	131.0	89.0	109.0	110.0	DLR00012733	DLR00012733-2009-11-12_22-56-40
